Temps___(ms):,	Pos.cal.(um):,	Tension_(mV):	
 7.5781475E+7,	-4.5792490E+1,	 5.8622372E+2	
 7.5781520E+7,	-4.5782366E+1,	 6.5950173E+2	
 7.5781565E+7,	-4.5772242E+1,	 6.9614071E+2	
 7.5781611E+7,	-4.5762117E+1,	 7.5964826E+2	
 7.5781656E+7,	-4.5751993E+1,	 7.8651685E+2	
 7.5781702E+7,	-4.5741869E+1,	 8.0361503E+2	
 7.5781747E+7,	-4.5731744E+1,	 8.3781141E+2	
 7.5781793E+7,	-4.5721620E+1,	 8.4025401E+2	
 7.5781837E+7,	-4.5711496E+1,	 8.8422084E+2	
 7.5781883E+7,	-4.5701371E+1,	 9.2574501E+2	
 7.5781928E+7,	-4.5691247E+1,	 9.5017099E+2	
 7.5781974E+7,	-4.5681122E+1,	 9.6238399E+2	
 7.5782019E+7,	-4.5670998E+1,	 9.6482658E+2	
 7.5782065E+7,	-4.5660874E+1,	 9.7215438E+2	
 7.5782110E+7,	-4.5650749E+1,	 9.6971178E+2	
 7.5782156E+7,	-4.5640625E+1,	 9.5017099E+2	
 7.5782201E+7,	-4.5630501E+1,	 8.9399123E+2	
 7.5782246E+7,	-4.5620376E+1,	 8.4758180E+2	
 7.5782292E+7,	-4.5610252E+1,	 7.4987787E+2	
 7.5782337E+7,	-4.5600128E+1,	 7.2545189E+2	
 7.5782382E+7,	-4.5590003E+1,	 6.4973134E+2	
 7.5782427E+7,	-4.5579879E+1,	 6.0576451E+2	
 7.5782473E+7,	-4.5569754E+1,	 5.5446994E+2	
 7.5782518E+7,	-4.5559630E+1,	 4.6897900E+2	
 7.5782564E+7,	-4.5549506E+1,	 4.1035661E+2	
 7.5782609E+7,	-4.5539381E+1,	 3.5173425E+2	
 7.5782655E+7,	-4.5529257E+1,	 2.7112848E+2	
 7.5782700E+7,	-4.5519133E+1,	 2.0762090E+2	
 7.5782745E+7,	-4.5509008E+1,	 1.5876894E+2	
 7.5782791E+7,	-4.5498884E+1,	 1.0747435E+2	
 7.5782836E+7,	-4.5488760E+1,	 8.5490964E+1	
 7.5782881E+7,	-4.5478635E+1,	 9.0376161E+1	
 7.5782926E+7,	-4.5468511E+1,	 1.3434294E+2	
 7.5782972E+7,	-4.5458386E+1,	 1.5632634E+2	
 7.5783017E+7,	-4.5448262E+1,	 1.8808012E+2	
 7.5783063E+7,	-4.5438138E+1,	 2.3937470E+2	
 7.5783108E+7,	-4.5428013E+1,	 3.1021005E+2	
 7.5783154E+7,	-4.5417889E+1,	 3.6883244E+2	
 7.5783199E+7,	-4.5407765E+1,	 4.6897900E+2	
 7.5783244E+7,	-4.5397640E+1,	 5.8622372E+2	
 7.5783290E+7,	-4.5387516E+1,	 6.6682953E+2	
 7.5783335E+7,	-4.5377392E+1,	 7.8163165E+2	
 7.5783380E+7,	-4.5367267E+1,	 8.3536881E+2	
 7.5783425E+7,	-4.5357143E+1,	 8.9154863E+2	
 7.5783471E+7,	-4.5347018E+1,	 9.2330241E+2	
 7.5783521E+7,	-4.5336894E+1,	 9.7215438E+2	
 7.5783566E+7,	-4.5326770E+1,	 9.6971178E+2	
 7.5783612E+7,	-4.5316645E+1,	 9.5994139E+2	
 7.5783657E+7,	-4.5306521E+1,	 9.4284320E+2	
 7.5783702E+7,	-4.5296397E+1,	 8.7200779E+2	
 7.5783748E+7,	-4.5286272E+1,	 8.1094283E+2	
 7.5783793E+7,	-4.5276148E+1,	 7.3277968E+2	
 7.5783838E+7,	-4.5266024E+1,	 6.7171472E+2	
 7.5783883E+7,	-4.5255899E+1,	 5.6668293E+2	
 7.5783929E+7,	-4.5245775E+1,	 4.6897900E+2	
 7.5783974E+7,	-4.5235651E+1,	 3.5417685E+2	
 7.5784020E+7,	-4.5225526E+1,	 2.8578407E+2	
 7.5784065E+7,	-4.5215402E+1,	 2.3693210E+2	
 7.5784111E+7,	-4.5205277E+1,	 1.9296531E+2	
 7.5784156E+7,	-4.5195153E+1,	 1.4411333E+2	
 7.5784202E+7,	-4.5185029E+1,	 9.5261358E+1	
 7.5784247E+7,	-4.5174904E+1,	 8.5490964E+1	
 7.5784292E+7,	-4.5164780E+1,	 9.0376161E+1	
 7.5784337E+7,	-4.5154656E+1,	 1.2701514E+2	
 7.5784382E+7,	-4.5144531E+1,	 1.4411333E+2	
 7.5784428E+7,	-4.5134407E+1,	 2.2471911E+2	
 7.5784473E+7,	-4.5124283E+1,	 3.0043966E+2	
 7.5784519E+7,	-4.5114158E+1,	 3.2242307E+2	
 7.5784564E+7,	-4.5104034E+1,	 3.7371764E+2	
 7.5784610E+7,	-4.5093909E+1,	 4.5188081E+2	
 7.5784655E+7,	-4.5083785E+1,	 5.2515876E+2	
 7.5784701E+7,	-4.5073661E+1,	 5.5691254E+2	
 7.5784746E+7,	-4.5063536E+1,	 6.7171472E+2	
 7.5784791E+7,	-4.5053412E+1,	 7.2789448E+2	
 7.5784837E+7,	-4.5043288E+1,	 7.7186126E+2	
 7.5784881E+7,	-4.5033163E+1,	 7.9872984E+2	
 7.5784926E+7,	-4.5023039E+1,	 8.8422084E+2	
 7.5784972E+7,	-4.5012915E+1,	 9.0376163E+2	
 7.5785018E+7,	-4.5002790E+1,	 9.3063021E+2	
 7.5785063E+7,	-4.4992666E+1,	 9.6726918E+2	
 7.5785109E+7,	-4.4982541E+1,	 9.7459698E+2	
 7.5785154E+7,	-4.4972417E+1,	 9.8680997E+2	
 7.5785199E+7,	-4.4962293E+1,	 9.9169517E+2	
 7.5785245E+7,	-4.4952168E+1,	 9.8436737E+2	
 7.5785290E+7,	-4.4942044E+1,	 9.5261359E+2	
 7.5785336E+7,	-4.4931920E+1,	 9.2574501E+2	
 7.5785380E+7,	-4.4921795E+1,	 8.3536881E+2	
 7.5785426E+7,	-4.4911671E+1,	 7.6941866E+2	
 7.5785471E+7,	-4.4901547E+1,	 6.9614071E+2	
 7.5785516E+7,	-4.4891422E+1,	 6.0576451E+2	
 7.5785562E+7,	-4.4881298E+1,	 5.1050317E+2	
 7.5785607E+7,	-4.4871173E+1,	 4.2256960E+2	
 7.5785653E+7,	-4.4861049E+1,	 3.5661945E+2	
 7.5785698E+7,	-4.4850925E+1,	 2.6380068E+2	
 7.5785744E+7,	-4.4840800E+1,	 1.5388373E+2	
 7.5785789E+7,	-4.4830676E+1,	 1.0747435E+2	
 7.5785834E+7,	-4.4820552E+1,	 9.2818759E+1	
 7.5785879E+7,	-4.4810427E+1,	 8.7933563E+1	
 7.5785924E+7,	-4.4800303E+1,	 8.7933563E+1	
 7.5785970E+7,	-4.4790179E+1,	 9.2818759E+1	
 7.5786015E+7,	-4.4780054E+1,	 1.1235955E+2	
 7.5786061E+7,	-4.4769930E+1,	 1.7586713E+2	
 7.5786106E+7,	-4.4759805E+1,	 2.4914509E+2	
 7.5786151E+7,	-4.4749681E+1,	 2.8334147E+2	
