Temps___(ms):,	Pos.cal.(um):,	Tension_(mV):	
 7.2365284E+7,	-5.1026786E+0,	 4.5100635E+2	
 7.2365424E+7,	-5.0925542E+0,	 4.3555936E+2	
 7.2365564E+7,	-5.0824298E+0,	 4.1023448E+2	
 7.2365704E+7,	-5.0723055E+0,	 3.8872740E+2	
 7.2365849E+7,	-5.0621811E+0,	 3.7866390E+2	
 7.2365989E+7,	-5.0520568E+0,	 3.7208599E+2	
 7.2366129E+7,	-5.0419324E+0,	 3.7256962E+2	
 7.2366269E+7,	-5.0318080E+0,	 3.8585734E+2	
 7.2366409E+7,	-5.0216837E+0,	 4.0716168E+2	
 7.2366549E+7,	-5.0115593E+0,	 4.3792868E+2	
 7.2366689E+7,	-5.0014349E+0,	 4.7574988E+2	
 7.2366829E+7,	-4.9913106E+0,	 5.1707619E+2	
 7.2366969E+7,	-4.9811862E+0,	 5.6085247E+2	
 7.2367109E+7,	-4.9710619E+0,	 6.0432094E+2	
 7.2367249E+7,	-4.9609375E+0,	 6.5157306E+2	
 7.2367394E+7,	-4.9508131E+0,	 6.9259650E+2	
 7.2367537E+7,	-4.9406888E+0,	 7.2457254E+2	
 7.2367677E+7,	-4.9305644E+0,	 7.4592328E+2	
 7.2367817E+7,	-4.9204401E+0,	 7.6049340E+2	
 7.2367957E+7,	-4.9103157E+0,	 7.6584023E+2	
 7.2368097E+7,	-4.9001913E+0,	 7.6352710E+2	
 7.2368237E+7,	-4.8900670E+0,	 7.5586957E+2	
 7.2368378E+7,	-4.8799426E+0,	 7.4317783E+2	
 7.2368518E+7,	-4.8698182E+0,	 7.2362483E+2	
 7.2368658E+7,	-4.8596939E+0,	 6.9999754E+2	
 7.2368798E+7,	-4.8495695E+0,	 6.7621154E+2	
 7.2368938E+7,	-4.8394452E+0,	 6.4917684E+2	
 7.2369078E+7,	-4.8293208E+0,	 6.1901563E+2	
 7.2369218E+7,	-4.8191964E+0,	 5.8916950E+2	
 7.2369358E+7,	-4.8090721E+0,	 5.4462874E+2	
 7.2369498E+7,	-4.7989477E+0,	 4.9715194E+2	
 7.2369643E+7,	-4.7888233E+0,	 4.5712751E+2	
 7.2369783E+7,	-4.7786990E+0,	 4.2557889E+2	
 7.2369923E+7,	-4.7685746E+0,	 3.8666829E+2	
 7.2370063E+7,	-4.7584503E+0,	 3.5974354E+2	
 7.2370203E+7,	-4.7483259E+0,	 3.3799708E+2	
 7.2370343E+7,	-4.7382015E+0,	 3.2646313E+2	
 7.2370483E+7,	-4.7280772E+0,	 3.3244994E+2	
 7.2370623E+7,	-4.7179528E+0,	 3.5194433E+2	
 7.2370763E+7,	-4.7078284E+0,	 3.8104299E+2	
 7.2370903E+7,	-4.6977041E+0,	 4.1507328E+2	
 7.2371043E+7,	-4.6875797E+0,	 4.8059112E+2	
 7.2371183E+7,	-4.6774554E+0,	 5.4806787E+2	
 7.2371323E+7,	-4.6673310E+0,	 6.0067660E+2	
 7.2371465E+7,	-4.6572066E+0,	 6.5418416E+2	
 7.2371607E+7,	-4.6470823E+0,	 6.9037372E+2	
 7.2371747E+7,	-4.6369579E+0,	 7.2027600E+2	
 7.2371887E+7,	-4.6268335E+0,	 7.4842209E+2	
 7.2372027E+7,	-4.6167092E+0,	 7.7289450E+2	
 7.2372170E+7,	-4.6065848E+0,	 7.9080606E+2	
 7.2372310E+7,	-4.5964605E+0,	 8.0191010E+2	
 7.2372450E+7,	-4.5863361E+0,	 8.0272835E+2	
 7.2372590E+7,	-4.5762117E+0,	 7.9175133E+2	
 7.2372730E+7,	-4.5660874E+0,	 7.7628481E+2	
 7.2372870E+7,	-4.5559630E+0,	 7.5863212E+2	
 7.2373010E+7,	-4.5458386E+0,	 7.3581827E+2	
 7.2373150E+7,	-4.5357143E+0,	 7.0119202E+2	
 7.2373290E+7,	-4.5255899E+0,	 6.6357601E+2	
 7.2373430E+7,	-4.5154656E+0,	 6.3188571E+2	
 7.2373570E+7,	-4.5053412E+0,	 5.9991449E+2	
 7.2373710E+7,	-4.4952168E+0,	 5.6562531E+2	
 7.2373850E+7,	-4.4850925E+0,	 5.2132142E+2	
 7.2373993E+7,	-4.4749681E+0,	 4.7689790E+2	
 7.2374137E+7,	-4.4648437E+0,	 4.3772104E+2	
 7.2374277E+7,	-4.4547194E+0,	 4.0430874E+2	
 7.2374417E+7,	-4.4445950E+0,	 3.7197363E+2	
 7.2374557E+7,	-4.4344707E+0,	 3.4767222E+2	
 7.2374697E+7,	-4.4243463E+0,	 3.3386421E+2	
 7.2374837E+7,	-4.4142219E+0,	 3.2815096E+2	
 7.2374977E+7,	-4.4040976E+0,	 3.2416707E+2	
 7.2375117E+7,	-4.3939732E+0,	 3.2783097E+2	
