Temps___(ms):,	Pos.cal.(um):,	Tension_(mV):	
 7.2662470E+7,	-5.1316342E+2,	 6.4395213E+2	
 7.2662610E+7,	-5.1265721E+2,	 5.3668052E+2	
 7.2662750E+7,	-5.1215099E+2,	 5.0781143E+2	
 7.2662890E+7,	-5.1164477E+2,	 4.7054958E+2	
 7.2663030E+7,	-5.1113855E+2,	 5.1477772E+2	
 7.2663170E+7,	-5.1063233E+2,	 5.7318270E+2	
 7.2663310E+7,	-5.1012612E+2,	 5.8943820E+2	
 7.2663450E+7,	-5.0961990E+2,	 6.0649973E+2	
 7.2663590E+7,	-5.0911368E+2,	 6.3672203E+2	
 7.2663730E+7,	-5.0860746E+2,	 6.3364434E+2	
 7.2663870E+7,	-5.0810124E+2,	 5.2679288E+2	
 7.2664010E+7,	-5.0759503E+2,	 5.8280414E+2	
 7.2664150E+7,	-5.0708881E+2,	 5.6727898E+2	
 7.2664290E+7,	-5.0658259E+2,	 5.7334393E+2	
 7.2664430E+7,	-5.0607637E+2,	 6.5348804E+2	
 7.2664570E+7,	-5.0557015E+2,	 5.9736931E+2	
 7.2664710E+7,	-5.0506393E+2,	 5.4392034E+2	
 7.2664850E+7,	-5.0455772E+2,	 6.1109674E+2	
 7.2664990E+7,	-5.0405150E+2,	 5.8978748E+2	
 7.2665130E+7,	-5.0354528E+2,	 4.8911333E+2	
 7.2665270E+7,	-5.0303906E+2,	 4.9737421E+2	
 7.2665410E+7,	-5.0253284E+2,	 5.3225452E+2	
 7.2665550E+7,	-5.0202663E+2,	 5.3907180E+2	
 7.2665690E+7,	-5.0152041E+2,	 5.1644111E+2	
 7.2665830E+7,	-5.0101419E+2,	 5.6152171E+2	
 7.2665970E+7,	-5.0050797E+2,	 6.4660233E+2	
 7.2666110E+7,	-5.0000175E+2,	 5.9161210E+2	
 7.2666250E+7,	-4.9949554E+2,	 5.6539571E+2	
 7.2666390E+7,	-4.9898932E+2,	 5.8761114E+2	
 7.2666530E+7,	-4.9848310E+2,	 5.1355153E+2	
 7.2666670E+7,	-4.9797688E+2,	 5.3849781E+2	
 7.2666810E+7,	-4.9747066E+2,	 5.5934536E+2	
 7.2666950E+7,	-4.9696445E+2,	 4.9465561E+2	
 7.2667090E+7,	-4.9645823E+2,	 4.9907425E+2	
 7.2667230E+7,	-4.9595201E+2,	 5.8869565E+2	
 7.2667370E+7,	-4.9544579E+2,	 5.8586466E+2	
 7.2667510E+7,	-4.9493957E+2,	 5.5644602E+2	
 7.2667650E+7,	-4.9443335E+2,	 5.7847822E+2	
 7.2667790E+7,	-4.9392714E+2,	 6.0677576E+2	
 7.2667930E+7,	-4.9342092E+2,	 5.3863215E+2	
