Temps___(ms):,	Pos.cal.(um):,	Tension_(mV):	
 6.8880588E+7,	-5.1735491E+0,	 1.9994625E+2	
 6.8880728E+7,	-5.1634247E+0,	 2.0005618E+2	
 6.8880868E+7,	-5.1533004E+0,	 2.0002931E+2	
 6.8881008E+7,	-5.1431760E+0,	 2.0007572E+2	
 6.8881148E+7,	-5.1330517E+0,	 2.0012213E+2	
 6.8881288E+7,	-5.1229273E+0,	 2.0008060E+2	
 6.8881428E+7,	-5.1128029E+0,	 1.9998045E+2	
 6.8881568E+7,	-5.1026786E+0,	 1.9998778E+2	
 6.8881708E+7,	-5.0925542E+0,	 1.9987299E+2	
 6.8881848E+7,	-5.0824298E+0,	 1.9991206E+2	
 6.8881988E+7,	-5.0723055E+0,	 1.9988032E+2	
 6.8882128E+7,	-5.0621811E+0,	 1.9991939E+2	
 6.8882268E+7,	-5.0520568E+0,	 1.9997557E+2	
 6.8882408E+7,	-5.0419324E+0,	 1.9982168E+2	
 6.8882548E+7,	-5.0318080E+0,	 1.9988763E+2	
 6.8882688E+7,	-5.0216837E+0,	 1.9976795E+2	
 6.8882828E+7,	-5.0115593E+0,	 1.9979481E+2	
 6.8882968E+7,	-5.0014349E+0,	 1.9985344E+2	
 6.8883108E+7,	-4.9913106E+0,	 1.9973619E+2	
 6.8883248E+7,	-4.9811862E+0,	 1.9976062E+2	
 6.8883388E+7,	-4.9710619E+0,	 1.9971910E+2	
 6.8883528E+7,	-4.9609375E+0,	 1.9978017E+2	
 6.8883668E+7,	-4.9508131E+0,	 1.9969955E+2	
 6.8883808E+7,	-4.9406888E+0,	 1.9964826E+2	
 6.8883948E+7,	-4.9305644E+0,	 1.9975574E+2	
 6.8884088E+7,	-4.9204401E+0,	 1.9966292E+2	
 6.8884228E+7,	-4.9103157E+0,	 1.9967268E+2	
 6.8884368E+7,	-4.9001913E+0,	 1.9970933E+2	
 6.8884508E+7,	-4.8900670E+0,	 1.9960918E+2	
 6.8884648E+7,	-4.8799426E+0,	 1.9969468E+2	
 6.8884788E+7,	-4.8698182E+0,	 1.9971910E+2	
 6.8884928E+7,	-4.8596939E+0,	 1.9970199E+2	
 6.8885068E+7,	-4.8495695E+0,	 1.9967024E+2	
 6.8885208E+7,	-4.8394452E+0,	 1.9969712E+2	
 6.8885348E+7,	-4.8293208E+0,	 1.9983390E+2	
 6.8885488E+7,	-4.8191964E+0,	 1.9974597E+2	
 6.8885628E+7,	-4.8090721E+0,	 1.9977283E+2	
 6.8885768E+7,	-4.7989477E+0,	 1.9985344E+2	
 6.8885908E+7,	-4.7888233E+0,	 1.9978261E+2	
 6.8886048E+7,	-4.7786990E+0,	 1.9981192E+2	
 6.8886188E+7,	-4.7685746E+0,	 1.9977528E+2	
 6.8886328E+7,	-4.7584503E+0,	 1.9984612E+2	
 6.8886468E+7,	-4.7483259E+0,	 1.9997069E+2	
 6.8886608E+7,	-4.7382015E+0,	 1.9987543E+2	
 6.8886748E+7,	-4.7280772E+0,	 2.0004885E+2	
 6.8886888E+7,	-4.7179528E+0,	 2.0005129E+2	
 6.8887028E+7,	-4.7078284E+0,	 2.0005129E+2	
 6.8887168E+7,	-4.6977041E+0,	 2.0006594E+2	
 6.8887308E+7,	-4.6875797E+0,	 2.0004641E+2	
 6.8887448E+7,	-4.6774554E+0,	 2.0018320E+2	
 6.8887588E+7,	-4.6673310E+0,	 2.0017587E+2	
 6.8887728E+7,	-4.6572066E+0,	 2.0016120E+2	
 6.8887868E+7,	-4.6470823E+0,	 2.0020762E+2	
 6.8888008E+7,	-4.6369579E+0,	 2.0009038E+2	
 6.8888148E+7,	-4.6268335E+0,	 2.0011236E+2	
 6.8888288E+7,	-4.6167092E+0,	 2.0013189E+2	
 6.8888428E+7,	-4.6065848E+0,	 2.0013922E+2	
 6.8888568E+7,	-4.5964605E+0,	 2.0016609E+2	
 6.8888708E+7,	-4.5863361E+0,	 2.0003663E+2	
 6.8888848E+7,	-4.5762117E+0,	 2.0000732E+2	
 6.8888988E+7,	-4.5660874E+0,	 2.0002198E+2	
 6.8889128E+7,	-4.5559630E+0,	 2.0007083E+2	
 6.8889268E+7,	-4.5458386E+0,	 2.0004396E+2	
 6.8889408E+7,	-4.5357143E+0,	 1.9991450E+2	
 6.8889548E+7,	-4.5255899E+0,	 2.0003176E+2	
 6.8889688E+7,	-4.5154656E+0,	 2.0000732E+2	
 6.8889828E+7,	-4.5053412E+0,	 1.9999756E+2	
 6.8889968E+7,	-4.4952168E+0,	 2.0002931E+2	
 6.8890108E+7,	-4.4850925E+0,	 1.9988519E+2	
 6.8890248E+7,	-4.4749681E+0,	 2.0002198E+2	
 6.8890388E+7,	-4.4648437E+0,	 1.9986321E+2	
 6.8890528E+7,	-4.4547194E+0,	 1.9974597E+2	
 6.8890668E+7,	-4.4445950E+0,	 1.9978750E+2	
 6.8890808E+7,	-4.4344707E+0,	 1.9979726E+2	
 6.8890948E+7,	-4.4243463E+0,	 1.9969955E+2	
 6.8891088E+7,	-4.4142219E+0,	 1.9965070E+2	
 6.8891228E+7,	-4.4040976E+0,	 1.9966537E+2	
 6.8891368E+7,	-4.3939732E+0,	 1.9973864E+2	
 6.8891508E+7,	-4.3838489E+0,	 1.9969712E+2	
 6.8891648E+7,	-4.3737245E+0,	 1.9972643E+2	
 6.8891788E+7,	-4.3636001E+0,	 1.9968735E+2	
 6.8891928E+7,	-4.3534758E+0,	 1.9971910E+2	
 6.8892068E+7,	-4.3433514E+0,	 1.9966048E+2	
 6.8892208E+7,	-4.3332270E+0,	 1.9957255E+2	
 6.8892348E+7,	-4.3231027E+0,	 1.9975574E+2	
 6.8892488E+7,	-4.3129783E+0,	 1.9968002E+2	
