Temps___(ms):,	Pos.cal.(um):,	 Tension_(mV):	
 7.0465382E+7,	-1.5247290E+1,	 1.3161799E+3	
 7.0465462E+7,	-1.5196668E+1,	 1.3162042E+3	
 7.0465542E+7,	-1.5146046E+1,	 1.3162580E+3	
 7.0465622E+7,	-1.5095424E+1,	 1.3161554E+3	
 7.0465702E+7,	-1.5044802E+1,	 1.3159990E+3	
 7.0465782E+7,	-1.4994180E+1,	 1.3156865E+3	
 7.0465862E+7,	-1.4943559E+1,	 1.3154324E+3	
 7.0465942E+7,	-1.4892937E+1,	 1.3152956E+3	
 7.0466022E+7,	-1.4842315E+1,	 1.3153151E+3	
 7.0466102E+7,	-1.4791693E+1,	 1.3156034E+3	
 7.0466182E+7,	-1.4741071E+1,	 1.3157841E+3	
 7.0466262E+7,	-1.4690450E+1,	 1.3161114E+3	
 7.0466342E+7,	-1.4639828E+1,	 1.3166635E+3	
 7.0466422E+7,	-1.4589206E+1,	 1.3171276E+3	
 7.0466502E+7,	-1.4538584E+1,	 1.3172252E+3	
 7.0466582E+7,	-1.4487962E+1,	 1.3169516E+3	
 7.0466662E+7,	-1.4437341E+1,	 1.3162775E+3	
 7.0466742E+7,	-1.4386719E+1,	 1.3156278E+3	
 7.0466822E+7,	-1.4336097E+1,	 1.3154910E+3	
 7.0466902E+7,	-1.4285475E+1,	 1.3159258E+3	
 7.0466982E+7,	-1.4234853E+1,	 1.3167220E+3	
 7.0467062E+7,	-1.4184232E+1,	 1.3171763E+3	
 7.0467142E+7,	-1.4133610E+1,	 1.3168100E+3	
 7.0467222E+7,	-1.4082988E+1,	 1.3160381E+3	
 7.0467302E+7,	-1.4032366E+1,	 1.3155154E+3	
 7.0467382E+7,	-1.3981744E+1,	 1.3155203E+3	
 7.0467462E+7,	-1.3931122E+1,	 1.3160479E+3	
 7.0467542E+7,	-1.3880501E+1,	 1.3167465E+3	
 7.0467622E+7,	-1.3829879E+1,	 1.3173181E+3	
 7.0467702E+7,	-1.3779257E+1,	 1.3174646E+3	
 7.0467782E+7,	-1.3728635E+1,	 1.3166342E+3	
 7.0467862E+7,	-1.3678013E+1,	 1.3155203E+3	
 7.0467942E+7,	-1.3627392E+1,	 1.3150220E+3	
 7.0468022E+7,	-1.3576770E+1,	 1.3153054E+3	
 7.0468102E+7,	-1.3526148E+1,	 1.3157694E+3	
 7.0468182E+7,	-1.3475526E+1,	 1.3165315E+3	
 7.0468262E+7,	-1.3424904E+1,	 1.3172399E+3	
 7.0468342E+7,	-1.3374283E+1,	 1.3171812E+3	
 7.0468422E+7,	-1.3323661E+1,	 1.3167807E+3	
 7.0468502E+7,	-1.3273039E+1,	 1.3162189E+3	
 7.0468582E+7,	-1.3222417E+1,	 1.3154031E+3	
 7.0468662E+7,	-1.3171795E+1,	 1.3149146E+3	
 7.0468742E+7,	-1.3121173E+1,	 1.3150611E+3	
 7.0468822E+7,	-1.3070552E+1,	 1.3162384E+3	
 7.0468902E+7,	-1.3019930E+1,	 1.3174255E+3	
 7.0468982E+7,	-1.2969308E+1,	 1.3171227E+3	
 7.0469062E+7,	-1.2918686E+1,	 1.3160381E+3	
 7.0469142E+7,	-1.2868064E+1,	 1.3150171E+3	
 7.0469222E+7,	-1.2817443E+1,	 1.3148266E+3	
 7.0469302E+7,	-1.2766821E+1,	 1.3155594E+3	
 7.0469382E+7,	-1.2716199E+1,	 1.3166878E+3	
 7.0469462E+7,	-1.2665577E+1,	 1.3174255E+3	
 7.0469542E+7,	-1.2614955E+1,	 1.3170934E+3	
 7.0469622E+7,	-1.2564334E+1,	 1.3162971E+3	
 7.0469702E+7,	-1.2513712E+1,	 1.3155447E+3	
 7.0469782E+7,	-1.2463090E+1,	 1.3148804E+3	
 7.0469862E+7,	-1.2412468E+1,	 1.3154569E+3	
 7.0469942E+7,	-1.2361846E+1,	 1.3168833E+3	
 7.0470022E+7,	-1.2311224E+1,	 1.3177480E+3	
 7.0470102E+7,	-1.2260603E+1,	 1.3177382E+3	
 7.0470182E+7,	-1.2209981E+1,	 1.3163899E+3	
 7.0470262E+7,	-1.2159359E+1,	 1.3150562E+3	
 7.0470342E+7,	-1.2108737E+1,	 1.3145677E+3	
 7.0470422E+7,	-1.2058115E+1,	 1.3149829E+3	
 7.0470502E+7,	-1.2007494E+1,	 1.3158036E+3	
 7.0470582E+7,	-1.1956872E+1,	 1.3167660E+3	
 7.0470662E+7,	-1.1906250E+1,	 1.3176161E+3	
 7.0470742E+7,	-1.1855628E+1,	 1.3174255E+3	
 7.0470822E+7,	-1.1805006E+1,	 1.3160675E+3	
 7.0470902E+7,	-1.1754385E+1,	 1.3147533E+3	
 7.0470982E+7,	-1.1703763E+1,	 1.3147435E+3	
 7.0471062E+7,	-1.1653141E+1,	 1.3163313E+3	
 7.0471142E+7,	-1.1602519E+1,	 1.3175135E+3	
 7.0471222E+7,	-1.1551897E+1,	 1.3172594E+3	
 7.0471302E+7,	-1.1501276E+1,	 1.3158183E+3	
 7.0471382E+7,	-1.1450654E+1,	 1.3145530E+3	
 7.0471462E+7,	-1.1400032E+1,	 1.3146263E+3	
 7.0471542E+7,	-1.1349410E+1,	 1.3163704E+3	
 7.0471622E+7,	-1.1298788E+1,	 1.3178555E+3	
 7.0471702E+7,	-1.1248166E+1,	 1.3180655E+3	
 7.0471782E+7,	-1.1197545E+1,	 1.3169761E+3	
 7.0471862E+7,	-1.1146923E+1,	 1.3147290E+3	
 7.0471942E+7,	-1.1096301E+1,	 1.3139864E+3	
