lambda, A
350.00,	140.03
351.00,	137.23
352.00,	139.88
353.00,	142.00
354.00,	141.25
355.00,	142.80
356.00,	139.74
357.00,	141.16
358.00,	138.37
359.00,	140.66
360.00,	138.84
361.00,	144.28
362.00,	140.51
363.00,	140.82
364.00,	140.93
365.00,	140.81
366.00,	143.18
367.00,	143.03
368.00,	144.58
369.00,	144.44
370.00,	139.82
371.00,	142.70
372.00,	141.92
373.00,	142.13
374.00,	140.91
375.00,	143.33
376.00,	142.15
377.00,	141.43
378.00,	142.65
379.00,	143.43
380.00,	141.51
381.00,	142.03
382.00,	141.59
383.00,	141.63
384.00,	140.99
385.00,	143.41
386.00,	143.95
387.00,	143.98
388.00,	144.62
389.00,	139.47
390.00,	139.90
391.00,	141.71
392.00,	141.82
393.00,	143.99
394.00,	144.96
395.00,	141.86
396.00,	141.97
397.00,	142.54
398.00,	141.89
399.00,	143.87
400.00,	144.89
401.00,	144.08
402.00,	142.02
403.00,	143.71
404.00,	143.18
405.00,	142.09
406.00,	140.73
407.00,	142.95
408.00,	141.93
409.00,	143.06
410.00,	141.45
411.00,	142.98
412.00,	144.83
413.00,	145.05
414.00,	140.89
415.00,	142.28
416.00,	142.90
417.00,	144.74
418.00,	140.82
419.00,	141.81
420.00,	143.04
421.00,	143.31
422.00,	141.65
423.00,	143.02
424.00,	143.78
425.00,	140.51
426.00,	144.16
427.00,	146.17
428.00,	143.46
429.00,	143.77
430.00,	140.01
431.00,	143.35
432.00,	142.26
433.00,	141.78
434.00,	143.52
435.00,	142.25
436.00,	138.37
437.00,	143.90
438.00,	144.53
439.00,	143.81
440.00,	144.05
441.00,	142.79
442.00,	142.16
443.00,	142.08
444.00,	143.14
445.00,	141.88
446.00,	143.84
447.00,	144.82
448.00,	144.44
449.00,	142.82
450.00,	146.99
451.00,	142.42
452.00,	144.16
453.00,	143.48
454.00,	141.86
455.00,	140.84
456.00,	146.49
457.00,	141.00
458.00,	146.01
459.00,	141.58
460.00,	141.75
461.00,	141.68
462.00,	147.31
463.00,	144.22
464.00,	142.00
465.00,	142.32
466.00,	143.03
467.00,	144.30
468.00,	141.91
469.00,	142.62
470.00,	140.48
471.00,	146.04
472.00,	142.91
473.00,	142.31
474.00,	144.38
475.00,	142.96
476.00,	143.72
477.00,	143.49
478.00,	143.13
479.00,	142.42
480.00,	144.27
481.00,	143.17
482.00,	142.98
483.00,	143.18
484.00,	144.92
485.00,	141.43
486.00,	145.89
487.00,	143.53
488.00,	144.41
489.00,	143.52
490.00,	143.02
491.00,	145.25
492.00,	143.02
493.00,	145.53
494.00,	145.95
495.00,	143.18
496.00,	142.58
497.00,	143.39
498.00,	147.13
499.00,	145.48
500.00,	145.75
501.00,	142.05
502.00,	142.02
503.00,	145.34
504.00,	146.12
505.00,	141.63
506.00,	139.88
507.00,	142.59
508.00,	142.50
509.00,	141.46
510.00,	147.00
511.00,	141.15
512.00,	141.44
513.00,	144.55
514.00,	145.92
515.00,	139.46
516.00,	141.18
517.00,	141.65
518.00,	143.85
519.00,	144.41
520.00,	141.98
521.00,	147.77
522.00,	140.10
523.00,	145.96
524.00,	144.80
525.00,	144.53
526.00,	143.66
527.00,	142.98
528.00,	142.32
529.00,	141.99
530.00,	144.64
531.00,	140.71
532.00,	141.88
533.00,	144.28
534.00,	143.63
535.00,	145.77
536.00,	142.95
537.00,	140.52
538.00,	140.32
539.00,	141.95
540.00,	139.88
541.00,	145.04
542.00,	142.40
543.00,	144.41
544.00,	136.28
545.00,	140.15
546.00,	138.90
547.00,	143.41
548.00,	145.98
549.00,	146.28
550.00,	143.52
551.00,	145.57
552.00,	137.97
553.00,	140.98
554.00,	139.99
555.00,	142.85
556.00,	140.40
557.00,	141.94
558.00,	143.32
559.00,	143.42
560.00,	140.74
561.00,	142.03
562.00,	143.35
563.00,	141.94
564.00,	145.17
565.00,	143.60
566.00,	144.04
567.00,	144.16
568.00,	143.36
569.00,	143.02
570.00,	144.11
571.00,	142.26
572.00,	142.66
573.00,	143.15
574.00,	140.86
575.00,	144.17
576.00,	141.76
577.00,	144.01
578.00,	144.25
579.00,	141.36
580.00,	146.87
581.00,	143.97
582.00,	143.85
583.00,	140.88
584.00,	141.87
585.00,	146.28
586.00,	141.18
587.00,	142.57
588.00,	146.30
589.00,	146.12
590.00,	144.49
591.00,	144.61
592.00,	146.66
593.00,	145.05
594.00,	144.81
