lambda, A
350.00,	132.95
351.00,	130.77
352.00,	129.30
353.00,	132.00
354.00,	131.13
355.00,	128.21
356.00,	131.83
357.00,	130.30
358.00,	135.29
359.00,	132.95
360.00,	133.57
361.00,	132.20
362.00,	132.27
363.00,	131.91
364.00,	129.97
365.00,	134.64
366.00,	131.30
367.00,	131.77
368.00,	135.21
369.00,	134.77
370.00,	132.08
371.00,	132.78
372.00,	133.70
373.00,	133.93
374.00,	135.38
375.00,	133.89
376.00,	129.85
377.00,	133.13
378.00,	133.04
379.00,	135.40
380.00,	133.22
381.00,	135.91
382.00,	134.51
383.00,	134.60
384.00,	132.02
385.00,	136.21
386.00,	132.02
387.00,	132.05
388.00,	133.24
389.00,	133.81
390.00,	132.03
391.00,	132.50
392.00,	135.43
393.00,	133.01
394.00,	133.71
395.00,	131.82
396.00,	134.06
397.00,	134.71
398.00,	135.64
399.00,	133.06
400.00,	133.29
401.00,	133.53
402.00,	131.91
403.00,	133.36
404.00,	133.99
405.00,	136.12
406.00,	133.57
407.00,	135.56
408.00,	134.94
409.00,	133.17
410.00,	132.95
411.00,	130.99
412.00,	133.14
413.00,	132.93
414.00,	134.00
415.00,	134.51
416.00,	137.69
417.00,	136.89
418.00,	135.37
419.00,	133.06
420.00,	135.56
421.00,	135.96
422.00,	132.92
423.00,	132.24
424.00,	134.99
425.00,	135.73
426.00,	136.37
427.00,	135.93
428.00,	133.28
429.00,	132.09
430.00,	133.97
431.00,	133.45
432.00,	134.02
433.00,	134.86
434.00,	133.22
435.00,	135.95
436.00,	131.30
437.00,	134.71
438.00,	135.72
439.00,	130.36
440.00,	132.94
441.00,	136.03
442.00,	135.51
443.00,	133.23
444.00,	132.76
445.00,	133.45
446.00,	132.94
447.00,	134.07
448.00,	135.38
449.00,	133.66
450.00,	136.99
451.00,	133.64
452.00,	134.33
453.00,	131.71
454.00,	134.15
455.00,	134.20
456.00,	133.27
457.00,	134.01
458.00,	138.28
459.00,	132.61
460.00,	135.39
461.00,	133.08
462.00,	136.62
463.00,	132.96
464.00,	134.99
465.00,	130.75
466.00,	133.46
467.00,	133.26
468.00,	133.94
469.00,	134.13
470.00,	131.82
471.00,	134.10
472.00,	132.56
473.00,	134.67
474.00,	137.44
475.00,	135.16
476.00,	134.03
477.00,	134.21
478.00,	132.57
479.00,	128.81
480.00,	134.23
481.00,	135.28
482.00,	136.94
483.00,	135.28
484.00,	133.47
485.00,	129.88
486.00,	134.00
487.00,	133.66
488.00,	136.50
489.00,	134.76
490.00,	134.02
491.00,	136.11
492.00,	133.65
493.00,	132.74
494.00,	131.95
495.00,	131.57
496.00,	134.88
497.00,	135.49
498.00,	132.95
499.00,	134.68
500.00,	138.11
501.00,	133.55
502.00,	133.00
