Distance_(pixels),Gray_Value
0,21.594
1,21.494
2,21.456
3,21.272
4,21.161
5,21.336
6,21.358
7,21.367
8,21.519
9,21.778
10,21.869
11,21.744
12,21.661
13,21.628
14,21.683
15,21.533
16,21.511
17,21.669
18,21.747
19,21.456
20,21.436
21,21.744
22,21.928
23,21.836
24,21.742
25,21.775
26,21.731
27,21.656
28,21.811
29,22.069
30,22.244
31,22.272
32,22.386
33,22.356
34,22.139
35,21.861
36,21.969
37,22.228
38,22.225
39,22.200
40,21.833
41,21.725
42,22.078
43,22.253
44,22.542
45,22.975
46,23.094
47,22.625
48,22.492
49,22.569
50,22.739
51,22.536
52,22.317
53,22.433
54,22.414
55,22.342
56,22.492
57,22.675
58,22.919
59,22.644
60,22.358
61,22.525
62,22.553
63,22.097
64,22.117
65,21.797
66,21.772
67,22.092
68,22.569
69,23.519
70,23.814
71,23.231
72,22.939
73,22.889
74,23.036
75,23.303
76,23.619
77,24.056
78,24.275
79,23.986
80,23.581
81,23.367
82,23.328
83,23.414
84,23.589
85,23.986
86,24.178
87,23.686
88,23.831
89,23.756
90,23.686
91,23.458
92,23.447
93,23.589
94,23.656
95,23.783
96,23.797
97,23.619
98,23.672
99,23.772
100,24.047
101,24.217
102,24.117
103,23.814
104,23.761
105,24.169
106,24.344
107,23.872
108,23.489
109,23.472
110,23.619
111,23.517
112,23.542
113,23.658
114,24.006
115,24.208
116,24.592
117,24.958
118,24.961
119,24.808
120,24.992
121,25.758
122,26.361
123,26.056
124,25.731
125,25.786
126,25.575
127,25.369
128,25.339
129,25.283
130,25.472
131,25.728
132,25.981
133,26.428
134,26.167
135,25.889
136,25.856
137,25.792
138,26.169
139,26.356
140,26.556
141,26.792
142,26.875
143,26.536
144,26.672
145,26.175
146,25.975
147,25.800
148,26.183
149,26.844
150,26.858
151,26.464
152,26.583
153,26.697
154,26.992
155,27.117
156,27.289
157,27.514
158,27.397
159,26.994
160,26.628
161,26.742
162,26.775
163,26.653
164,26.792
165,26.936
166,26.953
167,26.681
168,26.542
169,26.294
170,26.436
171,25.781
172,25.458
173,25.719
174,25.764
175,25.675
176,25.589
177,25.556
178,25.239
179,24.947
180,24.883
181,25.142
182,25.506
183,25.531
184,25.675
185,25.772
186,26.086
187,25.675
188,25.561
189,25.800
190,25.778
191,25.592
192,25.722
193,25.994
194,26.133
195,25.633
196,25.478
197,25.814
198,26.033
199,25.458
200,25.433
201,25.333
202,25.375
203,25.408
204,25.336
205,25.272
206,25.153
207,25.006
208,25.094
209,24.992
210,25.086
211,25.061
212,25.194
213,25.664
214,25.892
215,25.481
216,25.408
217,25.381
218,25.461
219,25.544
220,25.761
221,25.875
222,25.778
223,25.619
224,25.239
225,25.278
226,25.425
227,25.367
228,25.589
229,26.372
230,26.822
231,26.547
232,26.583
233,26.872
234,27.089
235,26.931
236,26.947
237,27.217
238,27.264
239,27.264
240,27.181
241,27.261
242,27.286
243,27.133
244,27.233
245,27.483
246,27.414
247,26.975
248,27.339
249,27.964
250,28.489
251,28.447
252,28.419
253,28.236
254,28.006
255,27.939
256,28.008
257,28.564
258,28.686
259,28.400
260,28.225
261,28.275
262,28.186
263,28.064
264,28.222
265,27.836
266,27.842
267,27.747
268,27.594
269,28.028
270,28.233
271,27.542
272,26.925
273,26.450
274,26.742
275,27.444
276,28.467
277,29.106
278,29.003
279,28.392
280,27.772
281,27.792
282,27.789
283,27.753
284,27.964
285,28.197
286,28.081
287,27.600
288,27.503
289,27.583
290,27.697
291,27.481
292,27.447
293,27.681
294,27.689
295,27.697
296,27.869
297,27.925
298,28.153
299,28.067
300,27.981
301,28.186
302,28.064
303,27.556
304,27.653
305,27.525
306,27.658
307,27.742
308,27.833
309,28.169
310,28.119
311,27.603
312,27.519
313,27.611
314,27.508
315,27.328
316,27.469
317,27.617
318,27.678
319,27.578
320,27.906
321,28.367
322,28.619
323,27.711
324,26.889
325,26.617
326,26.267
327,26.447
328,26.900
329,26.886
330,27.061
331,26.450
332,26.292
333,26.394
334,26.517
335,26.953
336,27.353
337,27.086
338,26.786
339,26.192
340,25.950
341,26.719
342,27.233
343,27.114
344,26.789
345,26.622
346,26.469
347,26.353
348,26.533
349,26.856
350,26.867
351,26.314
352,25.922
353,25.728
354,25.772
355,25.958
356,26.411
357,26.942
358,27.056
359,26.650
360,26.608
361,26.794
362,27.031
363,26.908
364,27.033
365,27.286
366,27.250
367,26.808
368,26.650
369,26.836
370,26.883
371,26.692
372,26.544
373,26.569
374,26.544
375,26.686
376,26.925
377,27.117
378,27.358
379,27.225
380,27.208
381,27.336
382,27.414
383,27.153
384,27.097
385,27.081
386,27.106
387,26.961
388,26.739
389,26.922
390,27.156
391,27.006
392,26.942
393,26.775
394,26.697
395,26.686
396,27.058
397,27.086
398,27.150
399,27.117
400,27.122
401,27.397
402,27.908
403,27.739
404,27.503
405,27.617
406,27.636
407,27.231
408,27.169
409,26.975
410,27.439
411,27.600
412,27.722
413,27.972
414,27.675
415,27.225
416,26.889
417,26.711
418,26.719
419,26.903
420,27.339
421,28.297
422,28.819
423,28.364
424,27.997
425,27.694
426,27.408
427,27.167
428,27.197
429,27.603
430,27.867
431,27.853
432,27.686
433,27.900
434,27.897
435,27.686
436,27.914
437,27.911
438,28.000
439,28.011
440,28.531
441,28.817
442,29.181
443,28.736
444,28.383
445,28.572
446,28.689
447,28.689
448,28.886
449,29.253
450,29.650
451,29.481
452,29.453
453,29.753
454,29.950
455,29.656
456,29.606
457,29.475
458,29.761
459,29.547
460,29.547
461,29.989
462,30.111
463,29.781
464,29.739
465,29.497
466,29.519
467,29.303
468,29.189
469,29.594
470,29.953
471,29.639
472,29.256
473,29.333
474,29.461
475,29.069
476,28.561
477,28.100
478,27.864
479,27.267
480,27.147
481,26.864
482,27.275
483,27.406
484,27.931
485,28.603
486,28.875
487,28.889
488,29.167
489,29.681
490,30.119
491,29.908
492,29.722
493,30.189
494,30.442
495,29.983
496,29.928
497,30.214
498,30.369
499,30.331
500,30.314
501,30.767
502,31.286
503,31.681
504,32.033
505,32.483
506,32.903
507,32.753
508,32.736
509,32.900
510,32.867
511,32.625
512,32.628
513,32.753
514,32.689
515,32.642
516,32.767
517,32.450
518,32.358
519,32.708
520,32.828
521,33.297
522,33.869
523,33.936
524,33.989
525,34.425
526,34.761
527,34.322
528,34.456
529,34.603
530,34.656
531,34.217
532,33.808
533,34.031
534,34.056
535,33.594
536,33.692
537,33.711
538,34.225
539,34.386
540,34.883
541,35.469
542,35.772
543,35.431
544,35.444
545,35.919
546,36.194
547,35.403
548,34.644
549,34.361
550,34.267
551,33.717
552,33.692
553,33.547
554,33.494
555,33.481
556,33.689
557,33.728
558,33.836
559,34.031
560,34.228
561,34.189
562,34.414
563,33.814
564,33.161
565,33.186
566,33.464
567,32.942
568,33.422
569,33.781
570,34.100
571,33.317
572,32.903
573,32.944
574,32.781
575,32.811
576,33.000
577,33.022
578,33.028
579,32.625
580,32.608
581,33.194
582,33.469
583,33.036
584,32.667
585,32.528
586,32.558
587,31.850
588,31.383
589,31.183
590,31.156
591,30.683
592,30.464
593,30.525
594,30.475
595,30.369
596,30.600
597,31.039
598,31.044
599,30.622
600,30.336
601,30.094
602,30.156
603,29.975
604,29.825
605,30.039
606,30.197
607,29.686
608,29.706
609,29.525
610,29.625
611,29.000
612,28.725
613,28.986
614,29.100
615,29.025
616,29.322
617,29.450
618,29.578
619,28.956
620,28.836
621,28.906
622,28.911
623,28.678
624,28.739
625,28.469
626,28.244
627,27.669
628,27.467
629,27.694
630,27.778
631,27.644
632,28.014
633,28.119
634,28.511
635,28.444
636,28.386
637,28.458
638,28.211
639,27.875
640,27.483
641,27.528
642,27.453
643,27.364
644,27.597
645,27.492
646,27.406
647,27.264
648,27.450
649,27.769
650,28.006
651,28.128
652,28.494
653,28.817
654,28.864
655,28.519
656,28.058
657,27.975
658,27.942
659,27.658
660,27.583
661,27.533
662,27.333
663,27.369
664,27.722
665,27.514
666,27.542
667,27.175
668,27.481
669,28.247
670,28.328
671,28.028
672,27.672
673,27.450
674,27.272
675,27.028
676,26.906
677,27.042
678,26.964
679,26.431
680,26.392
681,26.353
682,26.592
683,26.486
684,26.344
685,26.642
686,26.758
687,26.231
688,26.106
689,26.053
690,26.108
