Distance_(pixels),Gray_Value
0,4.000
1,3.994
2,3.622
3,4.286
4,4.858
5,4.235
6,3.412
7,3.684
8,4.255
9,4.977
10,4.569
11,4.244
12,3.729
13,3.933
14,3.344
15,4.040
16,4.569
17,5.334
18,6.098
19,5.958
20,4.783
21,5.333
22,5.333
23,5.229
24,4.980
25,4.107
26,2.916
27,2.934
28,3.772
29,4.333
30,4.333
31,4.333
32,4.333
33,4.333
34,4.334
35,5.099
36,4.803
37,4.333
38,4.294
39,3.509
40,2.941
41,2.902
42,3.460
43,4.846
44,5.981
45,5.920
46,5.333
47,5.236
48,5.021
49,4.222
50,4.183
51,4.131
52,4.255
53,4.333
54,4.314
55,4.754
56,4.585
57,4.966
58,4.980
59,4.372
60,4.431
61,4.778
62,4.633
63,4.598
64,4.333
65,5.040
66,4.797
67,4.570
68,5.333
69,5.333
70,4.864
71,4.797
72,4.737
73,5.390
74,5.618
75,4.762
76,4.336
77,4.333
78,4.901
79,4.418
80,4.511
81,5.072
82,5.192
83,5.545
84,5.860
85,4.333
86,4.660
87,5.191
88,3.734
89,3.372
90,3.333
91,3.540
92,3.333
93,3.413
94,3.990
95,3.272
96,3.138
97,3.333
98,3.494
99,4.276
100,4.144
101,3.878
102,5.333
103,5.206
104,5.164
105,5.333
106,4.918
107,4.316
108,4.923
109,5.333
110,5.333
111,4.857
112,4.459
113,4.538
114,4.967
115,5.924
116,6.000
117,6.000
118,5.700
119,4.305
120,4.000
121,4.000
122,4.000
123,4.182
124,4.611
125,5.242
126,5.228
127,6.535
128,6.667
129,6.527
130,5.931
131,5.469
132,5.000
133,4.800
134,4.890
135,5.242
136,6.000
137,5.704
138,5.060
139,5.123
140,5.061
141,5.826
142,5.788
143,6.355
144,7.000
145,7.000
146,6.413
147,6.434
148,6.000
149,6.000
150,6.477
151,6.510
152,6.963
153,7.606
154,7.233
155,6.523
156,5.840
157,5.186
158,5.830
159,6.475
160,7.000
161,7.000
162,6.566
163,5.667
164,5.792
165,5.488
166,4.723
167,6.267
168,6.392
169,6.045
170,6.999
171,6.024
172,5.147
173,5.444
174,6.947
175,6.824
176,7.255
177,7.644
178,7.000
179,7.000
180,7.000
181,7.000
182,7.000
183,7.000
184,6.829
185,6.769
186,6.095
187,5.997
188,5.022
189,3.550
190,4.332
191,6.006
192,6.614
193,6.638
194,6.612
195,5.285
196,5.321
197,6.570
198,6.124
199,6.537
200,6.051
201,6.709
202,6.428
203,6.000
204,6.000
205,6.000
206,6.000
207,6.000
208,6.117
209,6.497
210,6.000
211,6.237
212,6.245
213,5.691
214,5.129
215,4.849
216,5.038
217,5.808
218,6.354
219,6.045
220,5.839
221,5.854
222,4.899
223,4.667
224,4.495
225,4.728
226,4.951
227,5.358
228,6.318
229,7.468
230,7.114
231,6.429
232,5.368
233,3.900
234,3.881
235,4.456
236,4.899
237,4.372
238,5.002
239,5.000
240,5.431
241,6.344
242,5.699
243,5.259
244,5.000
245,4.881
246,4.259
247,3.522
248,3.673
249,3.667
250,3.561
251,3.520
252,4.789
253,5.565
254,5.796
255,5.328
256,4.309
257,3.842
258,3.454
259,3.991
260,5.022
261,4.622
262,4.306
263,5.061
264,4.854
265,4.588
266,4.330
267,3.904
268,4.511
269,6.079
270,6.519
271,6.000
272,5.996
273,5.231
274,5.000
275,4.702
276,4.063
277,4.393
278,5.185
279,6.066
280,6.000
281,5.909
282,5.739
283,6.000
284,6.007
285,6.643
286,6.675
287,5.862
288,5.667
289,5.405
290,4.689
291,4.667
292,4.667
293,4.667
294,4.667
295,4.915
296,5.000
297,4.878
298,4.113
299,3.694
300,3.565
301,3.995
302,4.000
303,4.792
304,5.000
305,5.571
306,6.000
307,6.000
308,6.000
309,5.701
310,4.950
311,4.776
312,6.129
313,5.018
314,4.450
315,4.591
316,5.318
317,5.667
318,5.664
319,5.667
320,4.887
321,4.648
322,4.240
323,4.285
324,4.941
325,4.466
326,4.671
327,5.936
328,5.172
329,4.391
330,4.113
331,3.918
332,3.409
333,3.768
334,4.152
335,3.879
336,2.800
337,2.700
338,3.543
339,4.240
340,5.000
341,5.000
342,4.272
343,4.000
344,4.013
345,4.254
346,4.270
347,4.274
348,4.248
349,4.661
350,4.667
351,4.431
352,4.000
353,4.506
354,4.547
355,5.310
356,4.865
357,4.995
358,4.230
359,4.116
360,3.804
361,3.832
362,4.829
363,5.565
364,6.213
365,6.877
366,6.112
367,6.507
368,8.174
369,8.455
370,7.520
371,8.107
372,7.918
373,7.014
374,8.615
375,6.969
376,7.202
377,7.667
378,7.731
379,8.278
380,8.298
381,8.667
382,8.691
383,9.413
384,9.331
385,9.358
386,10.325
387,10.667
388,9.937
389,9.190
390,8.934
391,8.667
392,8.814
393,8.953
394,9.597
395,10.177
396,9.837
397,10.261
398,10.164
399,10.514
400,9.869
401,10.031
402,9.667
403,9.667
404,9.667
405,8.969
406,9.331
407,10.068
408,9.713
409,10.265
410,9.688
411,9.287
412,8.070
413,7.159
414,7.820
415,8.324
416,8.790
417,9.555
418,10.198
419,9.224
420,8.610
421,8.684
422,8.684
423,8.523
424,9.109
425,9.667
426,9.482
427,9.135
428,8.490
429,7.879
430,7.224
431,7.018
432,7.755
433,8.275
434,8.155
435,8.400
436,7.753
437,8.464
438,7.772
439,8.461
440,9.810
441,10.333
442,10.327
443,9.562
444,9.333
445,9.394
446,9.304
447,8.488
448,8.175
449,7.614
450,6.349
451,6.975
452,8.095
453,8.333
454,6.999
455,5.610
456,4.861
457,5.477
458,6.420
459,7.823
460,7.582
461,7.274
462,6.504
463,6.333
464,6.288
465,5.856
466,6.111
467,6.450
468,7.222
469,7.244
470,6.701
471,6.890
472,7.122
473,6.378
474,6.090
475,6.043
476,5.779
477,6.000
478,6.000
479,6.000
480,5.513
481,3.893
482,4.494
483,5.225
484,6.268
485,6.849
486,5.589
487,4.946
488,5.606
489,6.132
490,5.009
491,4.579
492,4.713
493,4.671
494,5.239
495,5.870
496,6.635
497,6.981
498,5.467
499,5.491
500,5.169
501,4.822
502,4.942
503,5.084
504,5.453
505,6.000
506,6.004
507,6.238
508,6.333
509,6.270
510,5.408
511,4.658
512,6.247
513,7.333
514,7.333
515,7.333
516,7.929
517,8.203
518,8.352
519,7.841
520,7.197
521,6.552
522,7.055
523,5.550
524,6.252
525,5.855
526,5.333
527,5.341
528,6.172
529,6.333
530,6.333
531,6.385
532,6.441
533,5.529
534,5.551
535,7.059
536,8.223
537,8.333
538,8.333
539,8.219
540,8.333
541,8.099
542,8.498
543,8.090
544,7.333
545,7.582
546,8.284
547,9.011
548,9.108
549,9.050
550,9.333
551,8.856
552,7.543
553,7.468
554,7.678
555,7.795
556,8.240
557,8.993
558,9.448
559,10.185
560,10.103
561,10.268
562,11.205
563,11.850
564,12.896
565,14.608
566,13.976
567,13.917
568,14.476
569,15.469
570,17.255
571,17.994
572,17.280
573,16.962
574,17.606
575,17.314
576,17.555
577,18.332
578,17.471
579,16.829
580,17.508
581,18.705
582,20.829
583,22.238
584,22.410
585,21.784
586,21.248
587,21.219
588,21.544
589,21.250
590,21.556
591,21.731
592,21.667
593,22.700
594,24.667
595,23.666
596,24.402
597,23.776
598,24.377
599,25.670
600,26.246
601,26.273
602,27.014
603,28.759
604,31.056
605,31.919
606,31.253
607,30.808
608,31.055
609,31.739
610,32.119
611,31.495
612,31.328
613,31.259
614,29.925
615,28.898
616,28.644
617,28.389
618,28.033
619,28.282
620,29.046
621,29.865
622,29.531
623,30.809
624,31.800
625,32.556
626,32.929
627,32.405
628,32.578
629,33.345
630,34.334
631,33.816
632,32.358
633,30.200
634,27.686
635,27.749
636,29.297
637,29.804
638,28.030
639,27.825
640,26.903
641,25.000
642,25.000
643,26.542
644,26.641
645,26.042
646,25.654
647,25.647
648,25.667
649,25.786
650,26.055
651,25.906
652,25.916
653,26.362
654,27.000
655,26.984
656,26.204
657,26.443
658,26.965
659,26.021
660,24.498
661,24.672
662,24.667
663,24.389
664,26.002
665,25.539
666,24.130
667,23.492
668,22.920
669,22.268
670,22.994
671,22.725
672,23.470
673,22.922
674,22.442
675,22.700
676,23.344
677,23.881
678,23.831
679,23.117
680,23.897
681,22.058
682,21.781
683,22.769
684,23.196
685,21.587
686,20.631
687,22.047
688,23.408
689,23.264
690,22.356
691,22.057
692,22.138
693,21.774
694,21.284
695,21.000
696,21.000
697,21.040
698,24.099
699,24.460
700,24.000
701,24.000
702,23.710
703,23.254
704,22.873
705,23.419
706,23.928
707,24.657
708,24.826
709,24.823
710,24.020
711,23.456
712,23.814
713,24.184
714,25.165
715,24.520
716,24.086
717,23.336
718,22.893
719,23.501
720,23.645
721,22.744
722,22.256
723,23.786
724,24.856
725,25.151
726,23.825
727,23.458
728,24.241
729,24.927
730,24.421
731,23.688
732,25.217
733,25.253
734,24.913
735,25.033
736,25.848
737,26.259
738,26.132
739,26.544
740,28.183
741,28.903
742,28.048
743,27.099
744,26.406
745,25.953
746,24.944
747,24.656
748,25.011
749,25.776
750,26.520
751,26.328
752,26.052
753,25.166
754,24.979
755,26.868
756,29.072
757,30.399
758,30.706
759,31.936
760,31.918
761,31.837
762,30.866
763,29.891
764,29.067
765,29.670
766,29.925
767,31.558
768,32.890
769,32.751
770,33.794
771,35.018
772,36.908
773,36.975
774,36.811
775,36.623
776,36.926
777,38.550
778,40.015
779,41.582
780,41.851
781,42.503
782,44.316
783,41.499
784,41.415
785,42.907
786,44.404
787,44.952
788,45.072
789,45.192
790,45.233
791,44.804
792,43.649
793,41.037
794,39.278
795,40.541
796,40.441
797,42.286
798,43.989
799,45.606
800,44.757
801,44.396
802,45.758
803,47.192
804,45.019
805,41.298
806,40.040
807,39.522
808,39.817
809,40.073
810,38.809
811,38.374
812,38.058
813,37.891
814,38.854
815,38.843
816,36.318
817,35.298
818,35.045
819,35.695
820,37.260
821,36.235
822,35.976
823,36.032
824,36.734
825,38.527
826,39.117
827,38.762
828,37.312
829,36.141
830,34.484
831,32.709
832,29.792
833,26.781
834,24.074
835,22.251
836,20.820
837,21.000
838,21.000
839,20.123
840,18.762
841,18.725
842,16.175
843,16.652
844,16.485
845,16.043
846,17.287
847,19.330
848,17.955
849,17.198
850,18.343
851,18.131
852,16.156
853,16.317
854,17.703
855,17.561
856,18.518
857,18.405
858,17.681
859,16.210
860,16.175
861,17.295
862,17.958
863,17.094
864,16.613
865,18.771
866,21.009
867,20.601
868,20.711
869,21.471
870,21.266
871,21.467
872,21.667
873,23.296
874,23.887
875,23.416
876,23.267
877,24.809
878,27.576
879,28.512
880,29.891
881,33.344
882,37.647
883,40.124
884,41.388
885,44.912
886,48.897
887,51.708
888,52.521
889,52.220
890,54.376
891,55.976
892,56.314
893,54.905
894,53.553
895,53.900
896,54.793
897,55.192
898,55.121
899,56.277
900,56.967
901,57.017
902,58.037
903,59.418
904,60.134
905,59.891
906,60.110
907,59.741
908,59.935
909,60.883
910,62.458
911,62.606
912,62.997
913,63.856
914,64.557
915,63.955
916,63.492
917,63.083
918,61.675
919,59.912
920,58.501
921,57.612
922,55.518
923,53.643
924,52.758
925,52.215
926,51.277
927,50.572
928,48.942
929,46.247
930,43.494
931,41.705
932,38.509
933,36.842
934,35.850
935,33.925
936,33.667
937,34.150
938,32.797
939,29.718
940,29.481
941,31.588
942,32.078
943,31.151
944,34.082
945,33.968
946,31.512
947,29.536
948,28.354
949,28.333
950,27.682
951,28.093
952,29.667
953,29.554
