Distance_(pixels),Gray_Value
0,23.837
1,23.708
2,23.647
3,23.333
4,23.372
5,23.833
6,23.827
7,23.266
8,23.026
9,23.131
10,23.176
11,23.215
12,23.465
13,23.949
14,23.929
15,23.545
16,23.186
17,22.901
18,22.897
19,22.821
20,22.833
21,23.612
22,24.096
23,23.856
24,23.756
25,23.365
26,23.054
27,22.615
28,22.583
29,22.737
30,23.003
31,23.054
32,23.337
33,23.497
34,23.359
35,23.010
36,22.875
37,22.872
38,22.808
39,22.724
40,22.962
41,23.244
42,23.647
43,23.740
44,23.606
45,23.503
46,22.955
47,22.619
48,22.423
49,22.449
50,22.862
51,22.821
52,22.756
53,23.327
54,23.330
55,22.792
56,22.901
57,22.776
58,23.019
59,22.833
60,22.946
61,23.574
62,23.510
63,22.946
64,23.093
65,23.224
66,23.071
67,22.744
68,22.442
69,22.404
70,22.141
71,21.891
72,22.186
73,22.240
74,22.638
75,22.763
76,22.712
77,22.853
78,22.686
79,21.779
80,21.705
81,21.705
82,21.782
83,21.667
84,21.577
85,21.599
86,21.343
87,21.026
88,20.756
89,20.708
90,20.596
91,20.596
92,20.821
93,20.926
94,20.901
95,20.888
96,20.859
97,20.817
98,20.404
99,19.837
100,19.808
101,19.827
102,19.936
103,20.196
104,20.506
105,20.478
106,20.449
107,19.151
108,18.333
109,18.641
110,18.638
111,19.208
112,19.696
113,20.131
114,20.212
115,19.679
116,19.109
117,19.109
118,19.090
119,18.821
120,19.276
121,19.420
122,19.631
123,19.708
124,19.994
125,20.292
126,20.269
127,19.817
128,19.410
129,19.301
130,19.349
131,19.474
132,19.824
133,20.458
134,20.519
135,20.115
136,19.679
137,19.737
138,19.779
139,19.904
140,20.333
141,20.651
142,20.635
143,20.183
144,19.696
145,19.381
146,19.410
147,19.718
148,20.529
149,20.990
150,20.811
151,20.455
152,20.218
153,20.449
154,20.526
155,20.420
156,20.484
157,20.657
158,20.378
159,19.955
160,20.038
161,20.115
162,20.484
163,20.676
164,20.744
165,20.782
166,20.923
167,20.875
168,20.699
169,21.208
170,21.176
171,20.849
172,20.795
173,20.872
174,20.647
175,20.394
176,20.593
177,20.401
178,20.449
179,20.462
180,20.503
181,20.647
182,20.683
183,20.654
184,20.728
185,21.019
186,21.221
187,21.080
188,21.087
189,21.128
190,21.071
191,21.080
192,20.920
193,20.699
194,20.667
195,20.532
196,20.413
197,20.731
198,20.894
199,20.875
200,21.000
201,21.144
202,21.122
203,21.006
204,21.006
205,21.083
206,21.340
207,21.282
208,21.250
209,21.327
210,21.369
211,21.090
212,20.958
213,21.237
214,21.452
215,21.394
216,21.218
217,21.160
218,21.106
219,21.038
220,21.061
221,21.090
222,21.221
223,21.321
224,21.689
225,21.862
226,21.740
227,21.436
228,21.394
229,21.587
230,21.474
231,21.407
232,21.282
233,21.186
234,21.449
235,21.458
236,21.724
237,22.205
238,22.375
239,22.010
240,21.987
241,22.058
242,22.231
243,21.843
244,21.657
245,21.869
246,21.894
247,22.026
248,22.186
249,22.234
250,22.321
251,21.984
252,21.673
253,21.913
254,22.064
255,21.644
256,21.683
257,21.311
258,21.260
259,21.577
260,22.038
261,23.077
262,23.388
263,22.779
264,22.500
265,22.587
266,22.750
267,22.933
268,23.292
269,23.692
270,23.827
271,23.458
272,23.013
273,22.756
274,22.647
275,22.804
276,23.125
277,23.381
278,23.455
279,23.090
280,23.189
281,23.122
282,23.131
283,22.926
284,23.016
285,23.260
286,23.365
287,23.465
288,23.308
289,23.122
290,23.125
291,23.202
292,23.442
293,23.551
294,23.455
295,23.333
296,23.282
297,23.577
298,23.734
299,23.221
300,22.673
301,22.564
302,22.715
303,22.708
304,22.795
305,22.926
306,23.272
307,23.465
308,23.843
309,24.176
310,24.247
311,24.093
312,24.183
313,24.952
314,25.567
315,25.298
316,24.833
317,24.763
318,24.497
319,24.353
320,24.471
321,24.433
322,24.663
323,25.179
324,25.545
325,25.949
326,25.670
327,25.064
328,24.974
329,25.128
330,25.583
331,25.840
332,26.109
333,26.436
334,26.478
335,26.083
336,26.208
337,25.564
338,25.295
339,25.465
340,26.048
341,26.561
342,26.644
343,26.179
344,26.202
345,26.494
346,26.862
347,26.785
348,26.724
349,26.910
350,26.917
351,26.564
352,26.365
353,26.708
354,26.840
355,26.615
356,26.577
357,26.385
358,26.138
359,25.965
360,26.010
361,25.779
362,25.888
363,25.099
364,24.657
365,24.747
366,24.734
367,24.724
368,24.651
369,24.715
370,24.478
371,24.298
372,24.317
373,24.619
374,25.016
375,25.061
376,25.128
377,25.000
378,24.901
379,24.484
380,24.554
381,25.032
382,25.212
383,24.955
384,24.920
385,25.167
386,25.285
387,24.798
388,24.635
389,24.929
390,25.083
391,24.606
392,24.734
393,24.587
394,24.551
395,24.538
396,24.404
397,24.314
