Distance_(pixels),Gray_Value
0,5.846
1,5.808
2,5.675
3,5.500
4,5.508
5,5.583
6,5.662
7,5.588
8,5.717
9,5.679
10,5.779
11,5.792
12,5.754
13,6.017
14,6.042
15,5.617
16,5.942
17,6.067
18,6.129
19,5.858
20,5.404
21,5.542
22,5.604
23,5.246
24,5.296
25,5.629
26,5.742
27,5.671
28,5.454
29,5.350
30,5.550
31,5.600
32,5.800
33,5.888
34,6.046
35,6.158
36,5.925
37,5.825
38,5.696
39,5.625
40,5.567
41,5.896
42,5.946
43,5.846
44,5.883
45,6.096
46,6.208
47,5.983
48,5.746
49,5.658
50,5.650
51,5.621
52,5.917
53,6.304
54,6.421
55,6.296
56,6.258
57,6.083
58,6.171
59,6.208
60,6.233
61,6.321
62,6.304
63,6.217
64,6.442
65,6.604
66,6.658
67,6.421
68,6.121
69,6.033
70,6.029
71,6.142
72,6.379
73,6.779
74,6.917
75,6.679
76,6.158
77,5.996
78,5.833
79,5.713
80,6.021
81,6.033
82,6.567
83,6.592
84,6.517
85,6.704
86,6.442
87,6.363
88,6.146
89,6.267
90,6.325
91,5.938
92,5.842
93,6.246
94,6.317
95,6.408
96,6.567
97,6.479
98,6.658
99,6.483
100,6.554
101,6.742
102,6.517
103,6.421
104,6.237
105,6.304
106,6.367
107,6.279
108,6.475
109,6.762
110,6.621
111,6.496
112,6.483
113,6.608
114,6.879
115,6.779
116,6.612
117,6.787
118,6.812
119,6.300
120,6.050
121,6.312
122,6.233
123,5.996
124,5.708
125,5.871
126,6.158
127,6.183
128,6.379
129,6.367
130,6.483
131,6.521
132,6.808
133,7.221
134,7.433
135,7.208
136,6.942
137,6.729
138,6.583
139,6.458
140,6.379
141,6.342
142,6.254
143,6.429
144,6.387
145,6.675
146,6.921
147,6.858
148,6.879
149,7.104
150,7.254
151,7.167
152,7.075
153,6.912
154,6.929
155,6.917
156,6.850
157,6.825
158,6.933
159,6.958
160,7.142
161,7.229
162,7.246
163,7.196
164,7.446
165,7.533
166,7.229
167,6.900
168,7.221
169,7.262
170,7.246
171,7.396
172,7.504
173,7.567
174,7.321
175,7.121
176,6.812
177,6.887
178,6.787
179,6.625
180,6.971
181,7.496
182,7.533
183,7.046
184,7.229
185,6.892
186,6.967
187,7.137
188,7.142
189,7.329
190,7.525
191,7.412
192,7.438
193,7.375
194,7.279
195,6.967
196,6.758
197,6.871
198,7.004
199,6.679
200,6.971
201,6.921
202,7.221
203,7.096
204,6.933
205,7.346
206,7.325
207,7.162
208,7.350
209,7.100
210,7.308
211,7.221
212,7.183
213,7.371
214,7.383
215,7.408
216,7.613
217,7.412
218,7.375
219,7.287
220,7.133
221,7.346
222,7.412
223,7.300
224,7.071
225,7.096
226,7.129
227,7.242
228,7.079
229,6.804
230,6.592
231,6.467
232,6.558
233,6.733
234,6.833
235,6.871
236,6.858
