Distance_(pixels),Gray_Value
0,4.109
1,3.962
2,4.024
3,3.937
4,4.034
5,4.292
6,4.343
7,4.101
8,4.286
9,4.181
10,4.153
11,4.058
12,4.228
13,4.327
14,4.282
15,4.177
16,4.155
17,4.109
18,4.179
19,4.050
20,4.073
21,4.161
22,4.038
23,4.028
24,4.161
25,4.369
26,4.621
27,4.310
28,4.163
29,4.329
30,4.323
31,4.060
32,4.065
33,4.238
34,4.282
35,4.117
36,4.135
37,4.343
38,4.325
39,3.962
40,3.986
41,3.813
42,3.690
43,3.631
44,3.690
45,3.899
46,3.978
47,3.776
48,3.679
49,3.528
50,3.472
51,3.286
52,3.147
53,3.222
54,3.141
55,2.921
56,2.857
57,2.562
58,2.623
59,2.567
60,2.383
61,2.518
62,2.478
63,2.071
64,2.018
65,2.167
66,2.087
67,1.883
68,1.889
69,2.167
70,2.121
71,1.909
72,2.079
73,1.992
74,2.010
75,1.940
76,1.988
77,2.143
78,1.984
79,1.710
80,1.704
81,1.935
82,2.008
83,1.845
84,1.764
85,1.984
86,1.996
87,1.774
88,1.687
89,1.877
90,2.014
91,1.954
92,2.014
93,2.194
94,2.242
95,1.982
96,1.996
97,2.250
98,2.288
99,2.224
100,2.371
101,2.520
102,2.446
103,2.321
104,2.454
105,2.653
106,2.887
107,2.883
108,2.974
109,3.212
110,3.214
111,3.073
112,3.230
113,3.429
114,3.599
115,3.486
116,3.474
117,3.613
118,3.611
119,3.478
120,3.714
121,3.925
122,4.113
123,4.196
124,4.210
125,4.351
126,4.500
127,4.500
128,4.655
129,4.933
130,5.093
131,4.950
132,5.105
133,5.506
134,5.579
135,5.196
136,5.137
137,4.907
138,4.760
139,4.659
140,4.915
141,5.133
142,5.242
143,5.107
144,4.986
145,5.034
146,4.956
147,4.710
148,4.722
149,4.849
150,4.774
151,4.417
152,4.373
153,4.077
154,3.998
155,3.845
156,3.740
157,3.788
158,3.667
159,3.190
160,2.954
161,2.800
162,2.726
163,2.587
164,2.653
165,2.798
166,2.728
167,2.403
168,2.335
169,2.387
170,2.411
171,2.365
172,2.448
173,2.528
174,2.393
175,2.188
176,2.115
177,2.331
178,2.312
179,2.093
180,1.935
181,1.925
182,1.919
183,1.849
184,1.859
185,2.181
186,2.206
187,2.054
188,2.113
189,2.200
190,2.091
191,1.962
192,1.917
193,2.016
194,2.131
195,2.097
196,2.048
197,2.121
198,2.244
199,2.125
200,2.179
201,2.179
202,2.220
203,2.169
204,2.355
205,2.603
206,2.675
207,2.575
208,2.532
209,2.649
210,2.752
211,2.544
212,2.690
213,3.111
214,3.214
215,3.266
216,3.264
217,3.700
218,3.873
219,3.621
220,3.627
221,3.798
222,3.796
223,3.659
224,3.683
225,3.796
226,4.095
227,4.341
228,4.603
229,4.861
230,5.224
231,5.514
232,6.018
233,6.226
234,6.409
235,6.315
236,5.980
237,5.768
238,5.565
239,5.278
240,5.014
241,4.867
242,4.994
243,4.851
244,4.907
245,5.127
246,4.937
247,4.853
248,4.877
249,5.087
250,5.371
251,5.018
252,4.847
253,5.010
254,4.845
255,4.409
256,4.147
257,3.746
258,3.423
259,3.355
260,3.393
261,3.498
262,3.530
263,3.387
264,3.496
265,3.389
266,3.228
267,3.052
268,2.937
269,2.956
270,2.815
271,2.556
272,2.560
273,2.621
274,2.669
275,2.442
276,2.220
277,2.165
278,2.060
279,1.895
280,1.901
281,2.173
282,2.252
283,2.060
284,2.044
285,2.206
286,2.234
287,1.982
288,2.020
289,2.089
290,2.143
291,1.986
292,1.911
293,1.925
294,1.962
295,1.992
296,2.105
297,2.067
298,2.032
299,1.851
300,2.006
301,2.407
302,2.438
303,2.099
304,2.077
305,2.095
306,2.067
307,1.937
308,2.012
309,2.282
310,2.240
311,2.129
