Distance_(pixels),Gray_Value
0,0.538
1,0.641
2,0.795
3,0.692
4,0.615
5,0.538
6,0.590
7,0.692
8,0.538
9,0.692
10,0.821
11,0.692
12,0.564
13,0.718
14,0.795
15,0.795
16,0.744
17,0.615
18,0.538
19,0.564
20,0.641
21,0.795
22,0.692
23,0.692
24,0.564
25,0.641
26,0.872
27,0.821
28,0.795
29,0.667
30,0.615
31,0.692
32,0.718
33,0.692
34,0.897
35,0.821
36,0.667
37,0.359
38,0.410
39,0.538
40,0.564
41,0.590
42,0.590
43,0.462
44,0.308
45,0.410
46,0.538
47,0.692
48,0.667
49,0.615
50,0.667
51,0.692
52,0.692
53,0.692
54,0.692
55,0.769
56,0.385
57,0.615
58,0.897
59,0.821
60,0.769
61,0.795
62,0.769
63,0.744
64,0.538
65,0.513
66,0.564
67,0.667
68,0.744
69,0.641
70,0.590
71,0.744
72,0.564
73,0.487
74,0.487
75,0.590
76,0.564
77,0.436
78,0.359
79,0.462
80,0.410
81,0.538
82,0.692
83,0.795
84,0.821
85,0.769
86,0.872
87,0.846
88,0.795
89,0.692
90,0.590
91,0.667
92,0.821
93,0.846
94,0.641
95,0.410
96,0.385
97,0.564
98,0.769
99,0.744
100,0.641
101,0.667
102,0.564
103,0.590
104,0.487
105,0.462
106,0.513
107,0.487
108,0.641
109,0.564
110,0.513
111,0.513
112,0.641
113,0.538
114,0.538
115,0.615
116,0.513
117,0.487
118,0.615
119,0.821
120,0.538
121,0.615
122,0.692
123,0.462
124,0.385
125,0.769
126,0.821
127,0.821
128,0.410
129,0.538
130,0.615
131,0.769
132,0.846
133,0.769
134,0.667
135,0.590
136,0.564
137,0.718
138,0.846
139,0.974
140,0.923
141,0.795
142,0.923
143,1.026
144,0.803
145,1.103
146,1.333
147,1.470
148,1.462
149,1.402
150,1.556
151,1.735
152,2.034
153,2.983
154,3.769
155,3.709
156,3.615
157,3.949
158,4.026
159,3.470
160,2.162
161,1.709
162,1.231
163,1.162
164,1.256
165,0.735
166,0.675
167,0.974
168,0.581
169,0.641
170,0.538
171,0.462
172,0.282
173,0.393
174,0.598
175,0.684
176,0.615
177,0.615
178,0.564
179,0.462
180,0.282
181,0.333
182,0.487
183,0.744
184,0.487
185,0.615
186,0.744
187,0.744
188,0.590
189,0.410
190,0.410
191,0.667
192,0.513
193,0.462
194,0.564
195,0.590
196,0.564
197,0.333
198,0.410
199,0.487
200,0.385
201,0.436
202,0.538
203,0.667
204,0.667
205,0.564
206,0.538
207,0.615
208,0.590
209,0.513
210,0.641
211,0.744
212,0.744
213,0.385
214,0.385
215,0.641
216,0.615
217,0.538
218,0.470
219,0.573
220,0.581
221,0.598
222,0.547
223,0.496
224,0.513
225,0.641
226,0.598
227,0.410
228,0.402
229,0.470
230,0.453
231,0.581
232,0.410
233,0.590
234,0.590
235,0.718
236,0.624
237,0.598
238,0.726
239,0.906
240,0.658
241,0.624
242,0.615
243,0.838
244,1.000
245,1.111
246,1.239
247,1.658
248,1.846
249,2.573
250,3.521
251,4.085
252,4.615
253,5.162
254,5.282
255,5.128
256,4.026
257,2.769
258,2.162
259,1.991
