Distance_(pixels),Gray_Value
0,30.000
1,29.968
2,27.614
3,25.588
4,24.731
5,25.746
6,27.665
7,27.889
8,27.461
9,29.757
10,29.537
11,28.984
12,29.333
13,29.747
14,29.853
15,29.935
16,29.159
17,28.128
18,27.096
19,27.363
20,28.981
21,29.335
22,29.367
23,29.034
24,29.459
25,28.470
26,27.921
27,28.471
28,28.442
29,28.410
30,27.382
31,26.350
32,25.300
33,24.810
34,25.166
35,25.104
36,25.756
37,29.083
38,30.536
39,28.963
40,28.698
41,30.628
42,32.330
43,33.695
44,33.633
45,33.335
46,32.802
47,30.844
48,29.578
49,30.546
50,29.949
51,28.718
52,26.521
53,25.961
54,27.164
55,27.824
56,28.758
57,27.527
58,26.267
59,24.290
60,22.527
61,27.376
62,32.265
63,32.327
64,31.653
65,30.606
66,29.625
67,27.685
68,26.676
69,28.745
70,30.648
71,28.816
72,29.328
73,28.183
74,28.155
75,27.150
76,27.123
77,31.511
78,35.531
79,33.869
80,34.658
81,29.022
82,25.624
83,27.961
84,30.956
85,30.959
86,30.305
87,31.043
88,32.056
89,32.084
90,33.087
91,33.116
92,33.132
93,32.673
94,32.667
95,32.667
96,32.667
97,33.204
98,33.661
99,33.098
100,32.746
101,32.725
102,31.353
103,29.363
104,28.677
105,27.036
106,26.672
107,26.667
108,26.063
109,26.589
110,26.910
111,26.670
112,26.667
113,24.699
114,25.469
115,25.664
116,26.500
117,28.497
118,29.439
119,29.438
120,30.318
121,29.279
122,28.294
123,27.310
124,27.358
125,30.299
126,31.309
127,30.351
128,27.703
129,26.667
130,25.616
131,25.665
132,27.529
133,29.627
134,30.648
135,31.647
136,31.504
137,32.644
138,33.126
139,32.910
140,33.201
141,30.717
142,28.466
143,28.426
144,26.106
145,25.776
146,27.301
147,30.604
148,34.606
149,35.934
150,35.346
151,35.333
152,34.011
153,33.040
154,33.770
155,33.344
156,32.356
157,33.800
158,34.795
159,33.367
160,31.232
161,29.359
162,27.966
163,29.545
164,31.026
165,32.115
166,32.218
167,32.318
168,31.692
169,30.715
170,30.112
171,30.362
172,30.843
173,32.038
174,31.797
175,28.834
176,30.101
177,29.177
178,30.089
179,31.254
180,32.956
181,35.063
182,34.227
183,30.359
184,28.126
185,29.028
186,30.985
187,31.022
188,30.349
189,33.253
190,35.254
191,34.278
192,32.385
193,34.278
194,35.306
195,35.128
196,33.264
197,32.357
198,31.038
199,31.643
200,32.422
201,35.116
202,36.428
203,34.460
204,32.638
205,33.510
206,34.735
207,35.711
208,35.041
209,34.353
210,33.697
211,33.693
212,34.679
213,36.285
214,36.333
215,35.512
216,33.515
217,32.453
218,32.445
219,31.911
220,31.170
221,33.007
222,33.440
223,32.391
224,31.522
225,29.482
226,28.370
227,28.854
228,28.453
229,28.735
230,29.650
231,29.964
232,27.365
233,28.899
234,30.609
235,31.633
236,32.633
237,32.667
238,32.464
239,33.251
240,32.023
241,31.200
242,30.543
243,30.662
244,30.777
245,30.765
246,29.705
247,28.702
248,26.786
249,27.599
250,28.612
251,29.631
252,29.641
253,29.665
254,27.826
255,25.861
256,25.672
257,27.504
258,28.626
259,28.787
260,29.905
261,32.868
262,34.605
263,32.198
264,29.560
265,27.522
266,27.431
267,28.619
268,29.268
269,31.525
270,33.525
271,33.024
272,32.683
273,31.050
274,30.621
275,31.536
276,31.543
277,30.550
278,30.889
279,31.851
280,30.914
281,31.818
282,30.883
283,27.947
284,27.171
285,29.490
286,30.090
287,28.178
288,28.587
289,30.516
290,32.505
291,33.185
292,32.881
293,32.250
294,29.962
295,27.921
296,26.168
297,26.789
298,28.345
299,32.030
300,32.931
301,31.075
302,28.327
303,28.217
304,26.734
305,27.623
306,27.667
307,26.817
308,27.627
309,28.547
310,28.603
311,27.709
312,27.667
313,28.637
314,29.622
315,30.606
316,31.271
317,32.240
318,32.330
319,31.455
320,30.793
321,30.672
322,29.712
323,27.759
324,27.501
325,29.249
326,30.104
327,30.126
328,31.381
329,32.609
330,33.620
331,32.019
332,31.680
333,31.003
334,30.986
335,30.049
336,30.970
337,31.033
338,31.049
339,30.686
340,30.272
341,31.188
342,32.070
343,32.569
344,33.119
345,33.161
346,31.741
347,31.216
348,32.595
349,35.098
350,35.645
351,35.106
352,34.744
353,34.712
354,34.352
355,34.954
356,34.584
357,34.681
358,34.701
359,34.037
360,33.051
361,33.949
362,34.949
363,34.052
364,33.052
365,31.874
366,31.359
367,31.481
368,33.236
369,36.059
370,38.222
371,36.526
372,31.674
373,30.446
374,31.598
375,31.640
376,33.536
377,32.724
378,31.759
379,31.704
380,34.459
381,37.373
382,38.367
383,36.572
384,36.763
385,38.564
386,40.557
387,38.623
388,36.429
389,33.627
390,30.423
391,31.586
392,33.861
393,33.767
394,35.646
395,35.763
396,35.114
397,35.096
398,34.174
399,36.025
400,37.650
401,39.658
402,39.425
403,37.139
404,35.649
405,33.666
406,33.031
407,34.396
408,35.439
409,38.339
410,39.250
411,37.903
412,37.262
413,35.759
414,34.168
415,34.058
416,35.296
417,34.081
418,33.059
419,34.265
420,36.905
421,39.271
422,40.644
423,40.292
424,37.193
425,34.593
426,34.853
427,36.557
428,37.952
429,38.003
430,36.889
431,35.054
432,33.343
433,32.271
434,32.011
435,32.000
436,33.876
437,39.627
438,41.922
439,40.160
440,39.980
441,38.100
442,36.123
443,36.000
444,36.000
445,34.370
446,34.212
447,34.126
448,36.692
449,36.054
450,35.375
451,34.599
452,33.473
453,32.292
454,31.703
455,33.307
456,35.275
457,35.908
458,35.960
459,35.041
460,34.992
461,35.623
462,35.644
463,34.693
464,36.583
465,36.738
466,36.361
467,35.750
468,34.624
469,34.531
470,34.657
471,35.133
472,36.596
473,34.369
474,33.593
475,34.903
476,36.784
477,37.109
478,36.238
479,36.102
480,38.784
481,39.925
482,40.941
483,37.874
484,34.832
485,36.472
486,38.145
487,38.017
488,37.282
489,36.084
490,35.070
491,34.832
492,34.835
493,34.060
494,33.070
495,32.179
496,34.486
497,34.746
498,36.530
499,37.546
500,37.939
501,36.141
502,34.143
503,33.081
504,33.955
505,34.853
506,34.646
507,34.823
508,33.921
509,33.682
510,32.739
511,32.411
512,34.191
513,31.799
514,31.488
515,34.059
516,35.602
517,35.905
518,34.064
519,32.305
520,31.705
521,31.016
522,32.348
523,32.130
524,32.733
525,34.304
526,34.031
527,35.487
528,35.214
529,33.162
530,32.075
531,32.924
532,35.285
533,35.939
534,35.705
535,35.252
536,37.032
537,36.770
538,37.547
539,38.563
540,37.005
541,34.103
542,33.877
543,34.480
544,34.451
545,33.200
546,31.510
547,31.075
548,32.707
549,34.682
550,36.915
551,37.108
552,38.045
553,33.711
554,31.654
555,32.863
556,34.892
557,38.989
558,40.860
559,39.379
560,37.587
561,39.201
562,38.476
563,34.731
564,32.531
565,32.336
566,33.266
567,31.605
568,32.267
569,32.277
570,32.327
571,31.586
572,30.733
573,33.349
574,35.452
575,34.873
576,34.840
577,35.600
578,35.903
579,34.259
580,33.090
581,33.686
582,34.284
583,34.333
584,33.050
585,33.593
586,34.582
587,36.195
588,36.888
589,36.339
590,35.355
591,33.800
592,31.397
593,33.155
594,33.828
595,33.423
596,31.520
597,30.868
598,32.204
599,34.163
600,35.248
601,34.811
602,33.223
603,31.423
604,30.023
605,29.936
606,30.882
607,32.421
608,33.186
609,34.821
610,36.779
611,36.023
612,33.631
613,35.037
614,37.014
615,36.597
616,36.350
617,36.492
