Temps___(ms):, Pos.cal.(�m):, Tension_(mV):	
8.3759584E+7, -1.6107860E+3, 4.9386418E+2
8.3759744E+7, -1.6006617E+3, 5.0296533E+2
8.3759904E+7, -1.5905373E+3, 5.0595504E+2
8.3760064E+7, -1.5804129E+3, 5.0147045E+2
8.3760224E+7, -1.5702886E+3, 4.9580851E+2
8.3760384E+7, -1.5601642E+3, 4.9505618E+2
8.3760544E+7, -1.5500399E+3, 5.0366879E+2
8.3760704E+7, -1.5399155E+3, 5.0103080E+2
8.3760864E+7, -1.5297911E+3, 4.9423057E+2
8.3761024E+7, -1.5196668E+3, 4.8947239E+2
8.3761184E+7, -1.5095424E+3, 4.9519786E+2
8.3761344E+7, -1.4994180E+3, 5.0938445E+2
8.3761504E+7, -1.4892937E+3, 5.0403517E+2
8.3761664E+7, -1.4791693E+3, 4.9320468E+2
8.3761824E+7, -1.4690450E+3, 4.9035662E+2
8.3761984E+7, -1.4589206E+3, 4.9347827E+2
8.3762144E+7, -1.4487962E+3, 5.0812411E+2
8.3762304E+7, -1.4386719E+3, 5.0027847E+2
8.3762464E+7, -1.4285475E+3, 4.9925745E+2
8.3762624E+7, -1.4184232E+3, 4.9096727E+2
8.3762784E+7, -1.4082988E+3, 4.9382511E+2
8.3762944E+7, -1.3981744E+3, 5.0681484E+2
8.3763104E+7, -1.3880501E+3, 4.9764535E+2
8.3763264E+7, -1.3779257E+3, 4.9819249E+2
8.3763424E+7, -1.3678013E+3, 4.9163166E+2
8.3763584E+7, -1.3576770E+3, 5.0297022E+2
8.3763744E+7, -1.3475526E+3, 5.0272107E+2
8.3763904E+7, -1.3374283E+3, 4.9593553E+2
8.3764064E+7, -1.3273039E+3, 4.9897411E+2
8.3764224E+7, -1.3171795E+3, 4.9614558E+2
8.3764384E+7, -1.3070552E+3, 5.0545186E+2
8.3764544E+7, -1.2969308E+3, 5.0167561E+2
8.3764704E+7, -1.2868064E+3, 4.9880803E+2
8.3764864E+7, -1.2766821E+3, 4.9085492E+2
8.3765024E+7, -1.2665577E+3, 4.9458721E+2
8.3765184E+7, -1.2564334E+3, 5.0595993E+2
8.3765344E+7, -1.2463090E+3, 5.0526136E+2
8.3765504E+7, -1.2361846E+3, 4.9172935E+2
8.3765664E+7, -1.2260603E+3, 4.9064484E+2
8.3765824E+7, -1.2159359E+3, 4.9434784E+2
8.3765984E+7, -1.2058115E+3, 5.0618953E+2
8.3766144E+7, -1.1956872E+3, 5.0124574E+2
8.3766304E+7, -1.1855628E+3, 5.0219834E+2
8.3766464E+7, -1.1754385E+3, 4.9126527E+2
8.3766624E+7, -1.1653141E+3, 4.9425989E+2
8.3766784E+7, -1.1551897E+3, 5.0872010E+2
8.3766944E+7, -1.1450654E+3, 5.0208598E+2
8.3767104E+7, -1.1349410E+3, 5.0038594E+2
8.3767264E+7, -1.1248166E+3, 4.9321446E+2
8.3767424E+7, -1.1146923E+3, 5.0096238E+2
8.3767584E+7, -1.1045679E+3, 4.9962872E+2
8.3767744E+7, -1.0944436E+3, 5.0345874E+2
8.3767904E+7, -1.0843192E+3, 5.0224721E+2
8.3768064E+7, -1.0741948E+3, 4.8838300E+2
8.3768224E+7, -1.0640705E+3, 5.0277966E+2
8.3768384E+7, -1.0539461E+3, 5.0281876E+2
8.3768544E+7, -1.0438217E+3, 5.0140697E+2
8.3768704E+7, -1.0336974E+3, 4.8981926E+2
8.3768864E+7, -1.0235730E+3, 4.9376160E+2
8.3769024E+7, -1.0134487E+3, 5.0223744E+2
8.3769184E+7, -1.0033243E+3, 5.0131410E+2
8.3769344E+7, -9.9319994E+2, 4.9483147E+2
8.3769504E+7, -9.8307557E+2, 4.8974109E+2
8.3769664E+7, -9.7295121E+2, 4.9489009E+2
8.3769824E+7, -9.6282685E+2, 5.0298488E+2
8.3769984E+7, -9.5270249E+2, 5.0578898E+2
8.3770144E+7, -9.4257812E+2, 5.0166094E+2
8.3770304E+7, -9.3245376E+2, 4.8998535E+2
8.3770464E+7, -9.2232940E+2, 4.9251100E+2
8.3770624E+7, -9.1220504E+2, 5.0478262E+2
8.3770784E+7, -9.0208068E+2, 5.0459206E+2
8.3770944E+7, -8.9195631E+2, 5.0274062E+2
8.3771104E+7, -8.8183195E+2, 4.9026379E+2
8.3771264E+7, -8.7170759E+2, 4.9689302E+2
8.3771424E+7, -8.6158323E+2, 4.9615535E+2
8.3771584E+7, -8.5145886E+2, 5.0600392E+2
8.3771744E+7, -8.4133450E+2, 5.0233024E+2
8.3771904E+7, -8.3121014E+2, 4.9005863E+2
8.3772064E+7, -8.2108578E+2, 4.9745482E+2
8.3772224E+7, -8.1096142E+2, 4.9672204E+2
8.3772384E+7, -8.0083705E+2, 5.0668293E+2
8.3772544E+7, -7.9071269E+2, 4.9460185E+2
8.3772704E+7, -7.8058833E+2, 4.9775282E+2
8.3772864E+7, -7.7046397E+2, 4.9643379E+2
8.3773024E+7, -7.6033960E+2, 4.9886176E+2
8.3773184E+7, -7.5021524E+2, 5.0262338E+2
8.3773344E+7, -7.4009088E+2, 4.8880801E+2
8.3773504E+7, -7.2996652E+2, 4.9416709E+2
8.3773664E+7, -7.1984216E+2, 4.9586713E+2
8.3773824E+7, -7.0971779E+2, 5.0446993E+2
8.3773984E+7, -6.9959343E+2, 5.0331706E+2
8.3774144E+7, -6.8946907E+2, 4.9267220E+2
8.3774304E+7, -6.7934471E+2, 4.9140695E+2
8.3774464E+7, -6.6922034E+2, 4.9913043E+2
8.3774624E+7, -6.5909598E+2, 5.0496334E+2
8.3774784E+7, -6.4897162E+2, 5.0358576E+2
8.3774944E+7, -6.3884726E+2, 4.9184662E+2
8.3775104E+7, -6.2872290E+2, 4.9142647E+2
8.3775264E+7, -6.1859853E+2, 4.9178311E+2
8.3775424E+7, -6.0847417E+2, 5.0792867E+2
8.3775584E+7, -5.9834981E+2, 5.0315583E+2
8.3775744E+7, -5.8822545E+2, 4.9329752E+2
8.3775904E+7, -5.7810108E+2, 4.9088421E+2
8.3776064E+7, -5.6797672E+2, 4.9357596E+2
8.3776224E+7, -5.5785236E+2, 5.0763071E+2
8.3776384E+7, -5.4772800E+2, 5.0186616E+2
8.3776544E+7, -5.3760364E+2, 4.9981925E+2
8.3776704E+7, -5.2747927E+2, 4.9023938E+2
8.3776864E+7, -5.1735491E+2, 4.9453348E+2
8.3777024E+7, -5.0723055E+2, 5.0659013E+2
8.3777184E+7, -4.9710619E+2, 4.9749389E+2
8.3777344E+7, -4.8698182E+2, 5.0035173E+2
8.3777504E+7, -4.7685746E+2, 4.9194920E+2
8.3777664E+7, -4.6673310E+2, 5.0068879E+2
8.3777824E+7, -4.5660874E+2, 4.9829996E+2
8.3777984E+7, -4.4648437E+2, 4.9965316E+2
8.3778144E+7, -4.3636001E+2, 4.9670249E+2
8.3778304E+7, -4.2623565E+2, 4.9178797E+2
8.3778464E+7, -4.1611129E+2, 4.9990231E+2
8.3778624E+7, -4.0598693E+2, 4.9759647E+2
8.3778784E+7, -3.9586256E+2, 5.0065464E+2
8.3778944E+7, -3.8573820E+2, 4.9021983E+2
8.3779104E+7, -3.7561384E+2, 4.9231070E+2
8.3779264E+7, -3.6548948E+2, 5.0599414E+2
8.3779424E+7, -3.5536511E+2, 5.0058621E+2
8.3779584E+7, -3.4524075E+2, 5.0193453E+2
8.3779744E+7, -3.3511639E+2, 4.9244261E+2
8.3779904E+7, -3.2499203E+2, 4.9455300E+2
8.3780064E+7, -3.1486767E+2, 5.0158280E+2
8.3780224E+7, -3.0474330E+2, 5.0662923E+2
8.3780384E+7, -2.9461894E+2, 5.0690281E+2
8.3780544E+7, -2.8449458E+2, 4.8941377E+2
8.3780704E+7, -2.7437022E+2, 4.9352711E+2
8.3780864E+7, -2.6424585E+2, 5.0322914E+2
8.3781024E+7, -2.5412149E+2, 5.0547141E+2
8.3781184E+7, -2.4399713E+2, 5.0285786E+2
8.3781344E+7, -2.3387277E+2, 4.8817784E+2
8.3781504E+7, -2.2374841E+2, 4.9180263E+2
8.3781664E+7, -2.1362404E+2, 4.9470934E+2
8.3781824E+7, -2.0349968E+2, 5.0969714E+2
8.3781984E+7, -1.9337532E+2, 5.0252074E+2
8.3782144E+7, -1.8325096E+2, 4.8748413E+2
8.3782304E+7, -1.7312659E+2, 4.9332193E+2
8.3782464E+7, -1.6300223E+2, 4.9284318E+2
8.3782624E+7, -1.5287787E+2, 5.0425988E+2
8.3782784E+7, -1.4275351E+2, 4.9989742E+2
8.3782944E+7, -1.3262915E+2, 4.9892527E+2
8.3783104E+7, -1.2250478E+2, 4.9357107E+2
8.3783264E+7, -1.1238042E+2, 4.9305326E+2
