Temps___(ms):, Pos.cal.(�m):, Tension_(mV):
 8.4266402E+7, -6.8855788E+1, 5.0554472E+2
 8.4266562E+7, -6.8805166E+1, 5.1314604E+2
 8.4266722E+7, -6.8754544E+1, 5.1033705E+2
 8.4266882E+7, -6.8703922E+1, 5.1148510E+2
 8.4267042E+7, -6.8653300E+1, 5.0965804E+2
 8.4267202E+7, -6.8602679E+1, 5.0182706E+2
 8.4267362E+7, -6.8552057E+1, 5.0957501E+2
 8.4267522E+7, -6.8501435E+1, 5.1530045E+2
 8.4267682E+7, -6.8450813E+1, 5.1102102E+2
 8.4267842E+7, -6.8400191E+1, 5.0681484E+2
 8.4268002E+7, -6.8349570E+1, 5.0110894E+2
 8.4268162E+7, -6.8298948E+1, 5.0813383E+2
 8.4268322E+7, -6.8248326E+1, 5.1348317E+2
 8.4268482E+7, -6.8197704E+1, 5.1317048E+2
 8.4268642E+7, -6.8147082E+1, 5.0351244E+2
 8.4268802E+7, -6.8096460E+1, 4.9966294E+2
 8.4268962E+7, -6.8045839E+1, 5.0521249E+2
 8.4269122E+7, -6.7995217E+1, 5.1815826E+2
 8.4269282E+7, -6.7944595E+1, 5.1403517E+2
 8.4269442E+7, -6.7893973E+1, 4.9998534E+2
 8.4269602E+7, -6.7843351E+1, 5.0073767E+2
 8.4269762E+7, -6.7792730E+1, 5.1440644E+2
 8.4269922E+7, -6.7742108E+1, 5.1570106E+2
 8.4270082E+7, -6.7691486E+1, 5.1220322E+2
 8.4270242E+7, -6.7640864E+1, 5.0273085E+2
 8.4270402E+7, -6.7590242E+1, 5.0303859E+2
 8.4270562E+7, -6.7539621E+1, 5.1120663E+2
 8.4270722E+7, -6.7488999E+1, 5.1421595E+2
 8.4270882E+7, -6.7438377E+1, 5.1671225E+2
 8.4271042E+7, -6.7387755E+1, 5.0624818E+2
 8.4271202E+7, -6.7337133E+1, 5.0021493E+2
 8.4271362E+7, -6.7286511E+1, 5.0734735E+2
 8.4271522E+7, -6.7235890E+1, 5.1589644E+2
 8.4271682E+7, -6.7185268E+1, 5.1116759E+2
 8.4271842E+7, -6.7134646E+1, 5.0719100E+2
 8.4272002E+7, -6.7084024E+1, 5.0067419E+2
 8.4272162E+7, -6.7033402E+1, 5.0596482E+2
 8.4272322E+7, -6.6982781E+1, 5.1280409E+2
 8.4272482E+7, -6.6932159E+1, 5.1122618E+2
 8.4272642E+7, -6.6881537E+1, 5.0330728E+2
 8.4272802E+7, -6.6830915E+1, 5.0538838E+2
 8.4272962E+7, -6.6780293E+1, 5.0807035E+2
 8.4273122E+7, -6.6729672E+1, 5.1411337E+2
 8.4273282E+7, -6.6679050E+1, 5.1133853E+2
 8.4273442E+7, -6.6628428E+1, 5.0413775E+2
 8.4273602E+7, -6.6577806E+1, 5.0267220E+2
 8.4273762E+7, -6.6527184E+1, 5.1073766E+2
 8.4273922E+7, -6.6476562E+1, 5.1371276E+2
 8.4274082E+7, -6.6425941E+1, 5.1427943E+2
 8.4274242E+7, -6.6375319E+1, 5.0548607E+2
 8.4274402E+7, -6.6324697E+1, 5.0316072E+2
 8.4274562E+7, -6.6274075E+1, 5.1158279E+2
 8.4274722E+7, -6.6223453E+1, 5.1567662E+2
 8.4274882E+7, -6.6172832E+1, 5.1279920E+2
 8.4275042E+7, -6.6122210E+1, 5.0317538E+2
 8.4275202E+7, -6.6071588E+1, 5.0276989E+2
 8.4275362E+7, -6.6020966E+1, 5.0851977E+2
 8.4275522E+7, -6.5970344E+1, 5.1569617E+2
 8.4275682E+7, -6.5919723E+1, 5.0795799E+2
 8.4275842E+7, -6.5869101E+1, 5.0384468E+2
 8.4276002E+7, -6.5818479E+1, 5.0332683E+2
 8.4276162E+7, -6.5767857E+1, 5.1153886E+2
 8.4276322E+7, -6.5717235E+1, 5.1764536E+2
 8.4276482E+7, -6.5666614E+1, 5.1171958E+2
 8.4276642E+7, -6.5615992E+1, 4.9848071E+2
 8.4276802E+7, -6.5565370E+1, 5.0259405E+2
 8.4276962E+7, -6.5514748E+1, 5.0808501E+2
 8.4277122E+7, -6.5464126E+1, 5.1491940E+2
 8.4277282E+7, -6.5413504E+1, 5.1176846E+2
 8.4277442E+7, -6.5362883E+1, 5.0395215E+2
 8.4277602E+7, -6.5312261E+1, 5.0220811E+2
