Temps___(ms):, Pos.cal.(�m):, Tension_(mV):
 8.0546050E+7, -1.0306601E+1, 1.0600879E+3
 8.0546130E+7, -1.0296476E+1, 1.1968734E+3
 8.0546210E+7, -1.0286352E+1, 1.1968734E+3
 8.0546290E+7, -1.0276228E+1, 1.1700048E+3
 8.0546370E+7, -1.0266103E+1, 1.1504641E+3
 8.0546450E+7, -1.0255979E+1, 1.1455789E+3
 8.0546530E+7, -1.0245855E+1, 1.1016121E+3
 8.0546610E+7, -1.0235730E+1, 1.1284807E+3
 8.0546690E+7, -1.0225606E+1, 1.0698583E+3
 8.0546770E+7, -1.0215482E+1, 1.0503175E+3
 8.0546850E+7, -1.0205357E+1, 1.0136786E+3
 8.0546930E+7, -1.0195233E+1, 9.4528580E+2
 8.0547010E+7, -1.0185108E+1, 9.1841722E+2
 8.0547090E+7, -1.0174984E+1, 8.3536881E+2
 8.0547170E+7, -1.0164860E+1, 7.9872984E+2
 8.0547250E+7, -1.0154735E+1, 7.2545189E+2
 8.0547625E+7, -1.0144611E+1, 6.6927212E+2
 8.0547714E+7, -1.0134487E+1, 5.5691254E+2
 8.0547794E+7, -1.0124362E+1, 5.7401073E+2
 8.0547874E+7, -1.0114238E+1, 4.8851979E+2
 8.0547954E+7, -1.0104114E+1, 4.4455302E+2
 8.0548034E+7, -1.0093989E+1, 4.4699562E+2
 8.0548114E+7, -1.0083865E+1, 3.6394724E+2
 8.0548194E+7, -1.0073740E+1, 3.3707866E+2
 8.0548274E+7, -1.0063616E+1, 3.1753787E+2
 8.0548354E+7, -1.0053492E+1, 2.8822666E+2
 8.0548434E+7, -1.0043367E+1, 2.8089887E+2
 8.0548514E+7, -1.0033243E+1, 2.4670249E+2
 8.0548594E+7, -1.0023119E+1, 2.6868588E+2
 8.0548674E+7, -1.0012994E+1, 2.4670249E+2
 8.0548754E+7, -1.0002870E+1, 2.6135808E+2
 8.0548834E+7, -9.9927455E+0, 2.9066926E+2
 8.0548914E+7, -9.9826212E+0, 3.0043966E+2
 8.0548994E+7, -9.9724968E+0, 4.0302882E+2
 8.0549074E+7, -9.9623724E+0, 4.3722519E+2
 8.0549154E+7, -9.9522481E+0, 4.9584758E+2
 8.0549234E+7, -9.9421237E+0, 5.8133852E+2
 8.0549314E+7, -9.9319994E+0, 6.4240354E+2
 8.0549394E+7, -9.9218750E+0, 7.8651685E+2
 8.0549474E+7, -9.9117506E+0, 8.9399123E+2
 8.0549554E+7, -9.9016263E+0, 9.9658036E+2
 8.0549634E+7, -9.8915019E+0, 1.0723009E+3
 8.0549714E+7, -9.8813776E+0, 1.1260381E+3
 8.0549794E+7, -9.8712532E+0, 1.2237420E+3
 8.0549874E+7, -9.8611288E+0, 1.2652663E+3
 8.0549954E+7, -9.8510045E+0, 1.2799219E+3
 8.0550034E+7, -9.8408801E+0, 1.2774793E+3
 8.0550114E+7, -9.8307557E+0, 1.2115290E+3
 8.0550194E+7, -9.8206314E+0, 1.1895456E+3
 8.0550274E+7, -9.8105070E+0, 1.1529067E+3
 8.0550354E+7, -9.8003827E+0, 1.0478749E+3
 8.0550434E+7, -9.7902583E+0, 9.9169517E+2
 8.0550514E+7, -9.7801339E+0, 8.3536881E+2
 8.0550594E+7, -9.7700096E+0, 7.7674645E+2
 8.0550674E+7, -9.7598852E+0, 6.4240354E+2
 8.0550754E+7, -9.7497608E+0, 5.2271616E+2
 8.0550834E+7, -9.7396365E+0, 4.7142160E+2
 8.0550914E+7, -9.7295121E+0, 3.6150464E+2
 8.0550994E+7, -9.7193878E+0, 3.3952126E+2
 8.0551074E+7, -9.7092634E+0, 2.9799706E+2
 8.0551154E+7, -9.6991390E+0, 2.5158769E+2
 8.0551234E+7, -9.6890147E+0, 2.7357107E+2
 8.0551314E+7, -9.6788903E+0, 2.6624328E+2
 8.0551394E+7, -9.6687659E+0, 3.1509528E+2
 8.0551474E+7, -9.6586416E+0, 3.6394724E+2
 8.0551554E+7, -9.6485172E+0, 4.6165121E+2
 8.0551634E+7, -9.6383929E+0, 5.2271616E+2
 8.0551714E+7, -9.6282685E+0, 5.7645333E+2
 8.0551794E+7, -9.6181441E+0, 7.2056669E+2
 8.0551874E+7, -9.6080198E+0, 8.0850023E+2
 8.0551954E+7, -9.5978954E+0, 9.2330241E+2
 8.0552034E+7, -9.5877710E+0, 9.7459698E+2
 8.0552114E+7, -9.5776467E+0, 1.0381045E+3
 8.0552194E+7, -9.5675223E+0, 1.1675622E+3
 8.0552274E+7, -9.5573980E+0, 1.2017586E+3
 8.0552354E+7, -9.5472736E+0, 1.2408402E+3
